EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	REAGENT_ACCESSION
ES82274	EXP3727	ESR4335
ES82271	EXP3727	ESR4278
ES82271	EXP3727	ESR4431
ES82269	EXP3727	ESR4256
ES82269	EXP3727	ESR4287
ES82267	EXP3727	ESR4278
ES82266	EXP3727	ESR4236
ES82280	EXP3727	ESR4222
ES82277	EXP3727	ESR4427
ES82292	EXP3727	ESR4337
ES82292	EXP3727	ESR4495
ES82289	EXP3727	ESR4315
ES82287	EXP3727	ESR4428
ES82301	EXP3727	ESR4334
ES82301	EXP3727	ESR4336
ES82300	EXP3727	ESR4269
ES82300	EXP3727	ESR4325
ES82299	EXP3727	ESR4264
ES82298	EXP3727	ESR4431
ES82310	EXP3727	ESR4334
ES82310	EXP3727	ESR4335
ES82309	EXP3727	ESR4454
ES82307	EXP3727	ESR4315
ES82307	EXP3727	ESR4431
ES82305	EXP3727	ESR4287
ES82303	EXP3727	ESR4278
ES82319	EXP3727	ESR4334
ES82313	EXP3727	ESR4269
ES82311	EXP3727	ESR4269
ES82327	EXP3727	ESR4269
ES82325	EXP3727	ESR4222
ES82320	EXP3727	ESR4243
ES82320	EXP3727	ESR4386
ES82331	EXP3727	ESR4427
ES82330	EXP3727	ESR4278
ES82329	EXP3727	ESR4236
ES82346	EXP3727	ESR4335
ES82343	EXP3727	ESR4431
ES82341	EXP3727	ESR4256
ES82339	EXP3727	ESR4423
ES82353	EXP3727	ESR4225
ES82352	EXP3727	ESR4278
ES82350	EXP3727	ESR4428
ES82347	EXP3727	ESR4269
ES82363	EXP3727	ESR4300
ES82362	EXP3727	ESR4264
ES82359	EXP3727	ESR4269
ES82356	EXP3727	ESR4253
ES82356	EXP3727	ESR4269
ES82370	EXP3727	ESR4222
ES82370	EXP3727	ESR4278
ES82370	EXP3727	ESR4325
ES82369	EXP3727	ESR4289
ES82368	EXP3727	ESR4278
ES82367	EXP3727	ESR4242
ES82365	EXP3727	ESR4243
ES82381	EXP3727	ESR4269
ES82380	EXP3727	ESR4300
ES82378	EXP3727	ESR4278
ES82390	EXP3727	ESR4222
ES82389	EXP3727	ESR4225
ES82388	EXP3727	ESR4431
ES82387	EXP3727	ESR4269
ES82386	EXP3727	ESR4428
ES82385	EXP3727	ESR4242
ES82384	EXP3727	ESR4423
ES82400	EXP3727	ESR4334
ES82398	EXP3727	ESR4264
ES82398	EXP3727	ESR4300
ES82397	EXP3727	ESR4325
ES82394	EXP3727	ESR4278
ES82394	EXP3727	ESR4427
ES82392	EXP3727	ESR4236
ES82392	EXP3727	ESR4269
ES82409	EXP3727	ESR4335
ES82406	EXP3727	ESR4278
ES82404	EXP3727	ESR4287
ES82402	EXP3727	ESR4220
ES82402	EXP3727	ESR4315
ES82418	EXP3727	ESR4335
ES82414	EXP3727	ESR4256
ES82414	EXP3727	ESR4278
ES82414	EXP3727	ESR4429
ES82411	EXP3727	ESR4219
ES82410	EXP3727	ESR4243
ES82410	EXP3727	ESR4253
ES82427	EXP3727	ESR4337
ES82426	EXP3727	ESR4300
ES82425	EXP3727	ESR4264
ES82421	EXP3727	ESR4269
ES82421	EXP3727	ESR4427
ES82420	EXP3727	ESR4278
ES82444	EXP3727	ESR4222
ES82443	EXP3727	ESR4300
ES82440	EXP3727	ESR4278
ES82439	EXP3727	ESR4427
ES82437	EXP3727	ESR4243
ES82437	EXP3727	ESR4386
ES82453	EXP3727	ESR4300
ES82449	EXP3727	ESR4287
ES82448	EXP3727	ESR4242
ES82462	EXP3727	ESR4269
ES82459	EXP3727	ESR4429
ES82457	EXP3727	ESR4427
ES82455	EXP3727	ESR4269
ES82472	EXP3727	ESR4334
ES82472	EXP3727	ESR4335
ES82472	EXP3727	ESR4337
ES82471	EXP3727	ESR4269
ES82471	EXP3727	ESR4300
ES82471	EXP3727	ESR4454
ES82466	EXP3727	ESR4269
ES82475	EXP3727	ESR4269
ES82489	EXP3727	ESR4337
ES82484	EXP3727	ESR4278
ES82482	EXP3727	ESR4220
ES82498	EXP3727	ESR4335
ES82493	EXP3727	ESR4287
ES82506	EXP3727	ESR4269
ES82503	EXP3727	ESR4269
ES82502	EXP3727	ESR4269
ES82499	EXP3727	ESR4386
ES82513	EXP3727	ESR4315
ES82512	EXP3727	ESR4269
ES82508	EXP3727	ESR4269
ES82525	EXP3727	ESR4335
ES82522	EXP3727	ESR4431
ES82519	EXP3727	ESR4242
ES82534	EXP3727	ESR4336
ES82532	EXP3727	ESR4453
ES82531	EXP3727	ESR4278
ES82530	EXP3727	ESR4269
ES82530	EXP3727	ESR4289
ES82528	EXP3727	ESR4269
ES82527	EXP3727	ESR4315
ES82526	EXP3727	ESR4236
ES82526	EXP3727	ESR4243
ES82543	EXP3727	ESR4335
ES82542	EXP3727	ESR4454
ES82541	EXP3727	ESR4232
ES82540	EXP3727	ESR4278
ES82539	EXP3727	ESR4429
ES82537	EXP3727	ESR4427
ES82536	EXP3727	ESR4423
ES82550	EXP3727	ESR4264
ES82550	EXP3727	ESR4300
ES82550	EXP3727	ESR4453
ES82549	EXP3727	ESR4222
ES82549	EXP3727	ESR4431
ES82548	EXP3727	ESR4256
ES82546	EXP3727	ESR4256
ES82544	EXP3727	ESR4386
ES82560	EXP3727	ESR4222
ES82558	EXP3727	ESR4222
ES82558	EXP3727	ESR4431
ES82557	EXP3727	ESR4278
ES82557	EXP3727	ESR4289
ES82556	EXP3727	ESR4269
ES82556	EXP3727	ESR4278
ES82554	EXP3727	ESR4315
ES82553	EXP3727	ESR4236
ES82579	EXP3727	ESR4495
ES82577	EXP3727	ESR4225
ES82577	EXP3727	ESR4453
ES82576	EXP3727	ESR4222
ES82575	EXP3727	ESR4269
ES82575	EXP3727	ESR4289
ES82574	EXP3727	ESR4256
ES82572	EXP3727	ESR4219
ES82572	EXP3727	ESR4220
ES82570	EXP3727	ESR4336
ES82567	EXP3727	ESR4278
ES82566	EXP3727	ESR4256
ES82565	EXP3727	ESR4278
ES82563	EXP3727	ESR4220
ES82563	EXP3727	ESR4278
ES82563	EXP3727	ESR4315
ES82562	EXP3727	ESR4236
ES82562	EXP3727	ESR4386
ES82587	EXP3727	ESR4334
ES82586	EXP3727	ESR4454
ES82585	EXP3727	ESR4264
ES82596	EXP3727	ESR4337
ES82604	EXP3727	ESR4269
ES82601	EXP3727	ESR4269
ES82598	EXP3727	ESR4423
ES82613	EXP3727	ESR4269
ES82612	EXP3727	ESR4300
ES82611	EXP3727	ESR4222
ES82610	EXP3727	ESR4256
ES82609	EXP3727	ESR4428
ES82608	EXP3727	ESR4256
ES82607	EXP3727	ESR4278
ES82623	EXP3727	ESR4334
ES82623	EXP3727	ESR4335
ES82618	EXP3727	ESR4269
ES82617	EXP3727	ESR4278
ES82617	EXP3727	ESR4427
ES82616	EXP3727	ESR4278
ES82616	EXP3727	ESR4315
ES82615	EXP3727	ESR4243
ES82632	EXP3727	ESR4334
ES82631	EXP3727	ESR4454
ES82629	EXP3727	ESR4325
ES82627	EXP3727	ESR4256
ES82626	EXP3727	ESR4242
ES82625	EXP3727	ESR4278
ES82625	EXP3727	ESR4315
ES82625	EXP3727	ESR4423
ES82641	EXP3727	ESR4495
ES82640	EXP3727	ESR4222
ES82635	EXP3727	ESR4427
ES82633	EXP3727	ESR4386
ES82650	EXP3727	ESR4336
ES82647	EXP3727	ESR4431
ES82646	EXP3727	ESR4278
ES82646	EXP3727	ESR4429
ES82645	EXP3727	ESR4287
ES82644	EXP3727	ESR4269
ES82643	EXP3727	ESR4219
ES82655	EXP3727	ESR4269
ES82653	EXP3727	ESR4427
ES82652	EXP3727	ESR4219
ES82663	EXP3727	ESR4256
ES82662	EXP3727	ESR4256
ES82660	EXP3727	ESR4236
ES82686	EXP3727	ESR4495
ES82685	EXP3727	ESR4300
ES82684	EXP3727	ESR4232
ES82683	EXP3727	ESR4278
ES82681	EXP3727	ESR4256
ES82680	EXP3727	ESR4242
ES82680	EXP3727	ESR4278
ES82678	EXP3727	ESR4236
ES82678	EXP3727	ESR4386
ES82677	EXP3727	ESR4495
ES82676	EXP3727	ESR4222
ES82674	EXP3727	ESR4278
ES82674	EXP3727	ESR4315
ES82674	EXP3727	ESR4431
ES82672	EXP3727	ESR4269
ES82672	EXP3727	ESR4428
ES82671	EXP3727	ESR4427
ES82670	EXP3727	ESR4278
ES82695	EXP3727	ESR4335
ES82693	EXP3727	ESR4264
ES82693	EXP3727	ESR4300
ES82693	EXP3727	ESR4453
ES82690	EXP3727	ESR4256
ES82690	EXP3727	ESR4278
ES82689	EXP3727	ESR4278
ES82687	EXP3727	ESR4269
ES82702	EXP3727	ESR4300
ES82701	EXP3727	ESR4278
ES82701	EXP3727	ESR4325
ES82701	EXP3727	ESR4431
ES82700	EXP3727	ESR4429
ES82697	EXP3727	ESR4315
ES82697	EXP3727	ESR4423
ES82711	EXP3727	ESR4232
ES82709	EXP3727	ESR4289
ES82708	EXP3727	ESR4256
ES82707	EXP3727	ESR4256
ES82706	EXP3727	ESR4423
ES82722	EXP3727	ESR4495
ES82721	EXP3727	ESR4325
ES82719	EXP3727	ESR4315
ES82718	EXP3727	ESR4278
ES82717	EXP3727	ESR4278
ES82717	EXP3727	ESR4287
ES82716	EXP3727	ESR4242
ES82715	EXP3727	ESR4219
ES82715	EXP3727	ESR4220
ES82715	EXP3727	ESR4423
ES82731	EXP3727	ESR4334
ES82731	EXP3727	ESR4337
ES82730	EXP3727	ESR4222
ES82727	EXP3727	ESR4256
ES82724	EXP3727	ESR4423
ES82723	EXP3727	ESR4253
ES82739	EXP3727	ESR4336
ES82738	EXP3727	ESR4222
ES82738	EXP3727	ESR4454
ES82734	EXP3727	ESR4256
ES82733	EXP3727	ESR4219
ES82732	EXP3727	ESR4236
ES82732	EXP3727	ESR4253
ES82746	EXP3727	ESR4225
ES82746	EXP3727	ESR4264
ES82745	EXP3727	ESR4315
ES82744	EXP3727	ESR4256
ES82744	EXP3727	ESR4278
ES82742	EXP3727	ESR4427
ES82741	EXP3727	ESR4423
ES82755	EXP3727	ESR4300
ES82752	EXP3727	ESR4428
ES82751	EXP3727	ESR4269
ES82763	EXP3727	ESR4325
ES82761	EXP3727	ESR4428
ES82774	EXP3727	ESR4300
ES82774	EXP3727	ESR4325
ES82774	EXP3727	ESR4454
ES82772	EXP3727	ESR4315
ES82769	EXP3727	ESR4256
ES82767	EXP3727	ESR4253
ES82767	EXP3727	ESR4386
ES82784	EXP3727	ESR4337
ES82784	EXP3727	ESR4495
ES82778	EXP3727	ESR4269
ES82777	EXP3727	ESR4219
ES82776	EXP3727	ESR4386
ES82793	EXP3727	ESR4336
ES82791	EXP3727	ESR4453
ES82790	EXP3727	ESR4431
ES82789	EXP3727	ESR4256
ES82789	EXP3727	ESR4278
ES82787	EXP3727	ESR4278
ES82787	EXP3727	ESR4427
ES82786	EXP3727	ESR4423
ES82785	EXP3727	ESR4236
ES82785	EXP3727	ESR4243
ES82802	EXP3727	ESR4495
ES82801	EXP3727	ESR4325
ES82800	EXP3727	ESR4225
ES82799	EXP3727	ESR4278
ES82798	EXP3727	ESR4289
ES82795	EXP3727	ESR4220
ES82795	EXP3727	ESR4423
ES82811	EXP3727	ESR4337
ES82806	EXP3727	ESR4269
ES82805	EXP3727	ESR4256
ES82804	EXP3727	ESR4423
ES82818	EXP3727	ESR4232
ES82817	EXP3727	ESR4278
ES82817	EXP3727	ESR4315
ES82815	EXP3727	ESR4287
ES82814	EXP3727	ESR4242
ES82827	EXP3727	ESR4334
ES82827	EXP3727	ESR4495
ES82826	EXP3727	ESR4222
ES82826	EXP3727	ESR4325
ES82825	EXP3727	ESR4315
ES82824	EXP3727	ESR4429
ES82823	EXP3727	ESR4278
ES82835	EXP3727	ESR4495
ES82830	EXP3727	ESR4427
ES82829	EXP3727	ESR4315
ES82828	EXP3727	ESR4269
ES82843	EXP3727	ESR4454
ES82842	EXP3727	ESR4232
ES82841	EXP3727	ESR4315
ES82850	EXP3727	ESR4278
ES82849	EXP3727	ESR4289
ES82848	EXP3727	ESR4256
ES82848	EXP3727	ESR4269
ES82847	EXP3727	ESR4242
ES82845	EXP3727	ESR4236
ES82845	EXP3727	ESR4243
ES82858	EXP3727	ESR4315
ES82858	EXP3727	ESR4325
ES82865	EXP3727	ESR4287
ES82863	EXP3727	ESR4423
ES82862	EXP3727	ESR4253
ES82877	EXP3727	ESR4325
ES82877	EXP3727	ESR4454
ES82876	EXP3727	ESR4232
ES82875	EXP3727	ESR4315
ES82874	EXP3727	ESR4278
ES82874	EXP3727	ESR4289
ES82873	EXP3727	ESR4428
ES82872	EXP3727	ESR4427
ES82871	EXP3727	ESR4315
ES82885	EXP3727	ESR4232
ES82885	EXP3727	ESR4300
ES82884	EXP3727	ESR4315
ES82884	EXP3727	ESR4325
ES82883	EXP3727	ESR4289
ES82883	EXP3727	ESR4429
ES82881	EXP3727	ESR4256
ES82881	EXP3727	ESR4427
ES82880	EXP3727	ESR4278
ES82879	EXP3727	ESR4243
ES82893	EXP3727	ESR4453
ES82892	EXP3727	ESR4431
ES82890	EXP3727	ESR4428
ES82889	EXP3727	ESR4427
ES82887	EXP3727	ESR4386
ES82903	EXP3727	ESR4325
ES82902	EXP3727	ESR4453
ES82913	EXP3727	ESR4334
ES82912	EXP3727	ESR4222
ES82909	EXP3727	ESR4278
ES82908	EXP3727	ESR4256
ES82907	EXP3727	ESR4278
ES82906	EXP3727	ESR4278
ES82922	EXP3727	ESR4336
ES82921	EXP3727	ESR4222
ES82920	EXP3727	ESR4300
ES82919	EXP3727	ESR4278
ES82918	EXP3727	ESR4256
ES82917	EXP3727	ESR4256
ES82917	EXP3727	ESR4428
ES82914	EXP3727	ESR4253
ES82931	EXP3727	ESR4336
ES82929	EXP3727	ESR4225
ES82929	EXP3727	ESR4264
ES82929	EXP3727	ESR4300
ES82928	EXP3727	ESR4431
ES82925	EXP3727	ESR4278
ES82939	EXP3727	ESR4325
ES82938	EXP3727	ESR4232
ES82937	EXP3727	ESR4315
ES82936	EXP3727	ESR4289
ES82935	EXP3727	ESR4256
ES82934	EXP3727	ESR4269
ES82934	EXP3727	ESR4427
ES82933	EXP3727	ESR4423
ES82949	EXP3727	ESR4334
ES82948	EXP3727	ESR4325
ES82947	EXP3727	ESR4264
ES82947	EXP3727	ESR4300
ES82945	EXP3727	ESR4269
ES82945	EXP3727	ESR4429
ES82943	EXP3727	ESR4256
ES82957	EXP3727	ESR4300
ES82956	EXP3727	ESR4232
ES82956	EXP3727	ESR4453
ES82954	EXP3727	ESR4289
ES82951	EXP3727	ESR4220
ES82976	EXP3727	ESR4336
ES82975	EXP3727	ESR4325
ES82973	EXP3727	ESR4315
ES82972	EXP3727	ESR4289
ES82971	EXP3727	ESR4256
ES82971	EXP3727	ESR4278
ES82967	EXP3727	ESR4495
ES82965	EXP3727	ESR4264
ES82964	EXP3727	ESR4278
ES82963	EXP3727	ESR4269
ES82963	EXP3727	ESR4289
ES82962	EXP3727	ESR4287
ES82961	EXP3727	ESR4256
ES82961	EXP3727	ESR4269
ES82961	EXP3727	ESR4427
ES82984	EXP3727	ESR4325
ES82983	EXP3727	ESR4264
ES82983	EXP3727	ESR4300
ES82980	EXP3727	ESR4256
ES82979	EXP3727	ESR4242
ES82977	EXP3727	ESR4243
ES82977	EXP3727	ESR4253
ES82992	EXP3727	ESR4225
ES82992	EXP3727	ESR4300
ES82992	EXP3727	ESR4453
ES82987	EXP3727	ESR4220
ES82986	EXP3727	ESR4236
ES82986	EXP3727	ESR4386
ES83003	EXP3727	ESR4336
ES83002	EXP3727	ESR4222
ES83002	EXP3727	ESR4454
ES82999	EXP3727	ESR4289
ES82998	EXP3727	ESR4269
ES82997	EXP3727	ESR4427
ES82995	EXP3727	ESR4269
ES83012	EXP3727	ESR4335
ES83006	EXP3727	ESR4427
ES83020	EXP3727	ESR4325
ES83020	EXP3727	ESR4454
ES83016	EXP3727	ESR4269
ES83013	EXP3727	ESR4253
ES83029	EXP3727	ESR4325
ES83027	EXP3727	ESR4325
ES83026	EXP3727	ESR4429
ES83039	EXP3727	ESR4337
ES83038	EXP3727	ESR4222
ES83038	EXP3727	ESR4300
ES83038	EXP3727	ESR4325
ES83033	EXP3727	ESR4242
ES83033	EXP3727	ESR4427
ES83031	EXP3727	ESR4386
ES83048	EXP3727	ESR4335
ES83047	EXP3727	ESR4222
ES83046	EXP3727	ESR4300
ES83045	EXP3727	ESR4431
ES83044	EXP3727	ESR4278
ES83056	EXP3727	ESR4325
ES83055	EXP3727	ESR4232
ES83049	EXP3727	ESR4243
ES83065	EXP3727	ESR4454
ES83062	EXP3727	ESR4269
ES83061	EXP3727	ESR4278
ES83058	EXP3727	ESR4269
ES83075	EXP3727	ESR4335
ES83073	EXP3727	ESR4453
ES83072	EXP3727	ESR4222
ES83072	EXP3727	ESR4325
ES83070	EXP3727	ESR4269
ES83070	EXP3727	ESR4287
ES83068	EXP3727	ESR4220
ES83083	EXP3727	ESR4269
ES83081	EXP3727	ESR4278
ES83081	EXP3727	ESR4325
ES83078	EXP3727	ESR4242
ES83078	EXP3727	ESR4269
ES83077	EXP3727	ESR4315
ES83076	EXP3727	ESR4253
ES83093	EXP3727	ESR4334
ES83093	EXP3727	ESR4335
ES83092	EXP3727	ESR4300
ES83092	EXP3727	ESR4325
ES83085	EXP3727	ESR4243
ES83098	EXP3727	ESR4269
ES83096	EXP3727	ESR4242
ES83095	EXP3727	ESR4219
ES83094	EXP3727	ESR4253
ES83109	EXP3727	ESR4300
ES83107	EXP3727	ESR4315
ES83105	EXP3727	ESR4269
ES83117	EXP3727	ESR4232
ES83116	EXP3727	ESR4222
ES83127	EXP3727	ESR4336
ES83125	EXP3727	ESR4232
ES83125	EXP3727	ESR4453
ES83123	EXP3727	ESR4289
ES83121	EXP3727	ESR4423
ES83144	EXP3727	ESR4269
ES83141	EXP3727	ESR4278
ES83139	EXP3727	ESR4256
ES83137	EXP3727	ESR4269
ES83137	EXP3727	ESR4386
ES83135	EXP3727	ESR4222
ES83134	EXP3727	ESR4300
ES83132	EXP3727	ESR4256
ES83130	EXP3727	ESR4269
ES83129	EXP3727	ESR4220
ES83129	EXP3727	ESR4423
ES83151	EXP3727	ESR4222
ES83151	EXP3727	ESR4315
ES83151	EXP3727	ESR4431
ES83150	EXP3727	ESR4429
ES83148	EXP3727	ESR4427
ES83147	EXP3727	ESR4278
ES83163	EXP3727	ESR4334
ES83163	EXP3727	ESR4337
ES83162	EXP3727	ESR4269
ES83162	EXP3727	ESR4325
ES83161	EXP3727	ESR4300
ES83159	EXP3727	ESR4289
ES83168	EXP3727	ESR4429
ES83167	EXP3727	ESR4269
ES83167	EXP3727	ESR4278
ES83165	EXP3727	ESR4220
ES83164	EXP3727	ESR4243
ES83180	EXP3727	ESR4300
ES83177	EXP3727	ESR4278
ES83174	EXP3727	ESR4423
ES83173	EXP3727	ESR4269
ES83190	EXP3727	ESR4334
ES83190	EXP3727	ESR4337
ES83207	EXP3727	ESR4336
ES83207	EXP3727	ESR4337
ES83207	EXP3727	ESR4495
ES83205	EXP3727	ESR4278
ES83204	EXP3727	ESR4256
ES83202	EXP3727	ESR4427
ES83201	EXP3727	ESR4315
ES83200	EXP3727	ESR4243
ES83199	EXP3727	ESR4495
ES83197	EXP3727	ESR4232
ES83195	EXP3727	ESR4256
ES83194	EXP3727	ESR4278
ES83193	EXP3727	ESR4427
ES83192	EXP3727	ESR4219
ES83192	EXP3727	ESR4220
ES83223	EXP3727	ESR4232
ES83223	EXP3727	ESR4300
ES83222	EXP3727	ESR4278
ES83221	EXP3727	ESR4289
ES83220	EXP3727	ESR4256
ES83220	EXP3727	ESR4287
ES83220	EXP3727	ESR4428
ES83218	EXP3727	ESR4278
ES83218	EXP3727	ESR4315
ES83217	EXP3727	ESR4243
ES83215	EXP3727	ESR4300
ES83214	EXP3727	ESR4453
ES83213	EXP3727	ESR4222
ES83212	EXP3727	ESR4256
ES83211	EXP3727	ESR4269
ES83210	EXP3727	ESR4269
ES83234	EXP3727	ESR4495
ES83232	EXP3727	ESR4232
ES83232	EXP3727	ESR4453
ES83227	EXP3727	ESR4423
ES83226	EXP3727	ESR4236
ES83226	EXP3727	ESR4243
ES83241	EXP3727	ESR4225
ES83240	EXP3727	ESR4325
ES83239	EXP3727	ESR4278
ES83239	EXP3727	ESR4429
ES83238	EXP3727	ESR4256
ES83248	EXP3727	ESR4256
ES83247	EXP3727	ESR4287
ES83246	EXP3727	ESR4269
ES83246	EXP3727	ESR4278
ES83245	EXP3727	ESR4315
ES83261	EXP3727	ESR4337
ES83258	EXP3727	ESR4315
ES83256	EXP3727	ESR4287
ES83270	EXP3727	ESR4335
ES83270	EXP3727	ESR4336
ES83268	EXP3727	ESR4300
ES83267	EXP3727	ESR4222
ES83265	EXP3727	ESR4287
ES83264	EXP3727	ESR4278
ES83263	EXP3727	ESR4423
ES83278	EXP3727	ESR4300
ES83276	EXP3727	ESR4278
ES83275	EXP3727	ESR4256
ES83275	EXP3727	ESR4289
ES83271	EXP3727	ESR4243
ES83271	EXP3727	ESR4386
ES83287	EXP3727	ESR4269
ES83283	EXP3727	ESR4256
ES83297	EXP3727	ESR4335
ES83297	EXP3727	ESR4337
ES83296	EXP3727	ESR4300
ES83296	EXP3727	ESR4325
ES83291	EXP3727	ESR4278
ES83289	EXP3727	ESR4269
ES83306	EXP3727	ESR4337
ES83305	EXP3727	ESR4300
ES83305	EXP3727	ESR4454
ES83303	EXP3727	ESR4431
ES83301	EXP3727	ESR4278
ES83299	EXP3727	ESR4278
ES83324	EXP3727	ESR4334
ES83324	EXP3727	ESR4495
ES83320	EXP3727	ESR4269
ES83319	EXP3727	ESR4269
ES83319	EXP3727	ESR4278
ES83318	EXP3727	ESR4269
ES83316	EXP3727	ESR4243
ES83315	EXP3727	ESR4337
ES83314	EXP3727	ESR4325
ES83312	EXP3727	ESR4278
ES83308	EXP3727	ESR4219
ES83307	EXP3727	ESR4236
ES83332	EXP3727	ESR4269
ES83332	EXP3727	ESR4325
ES83331	EXP3727	ESR4225
ES83330	EXP3727	ESR4222
ES83330	EXP3727	ESR4278
ES83329	EXP3727	ESR4256
ES83329	EXP3727	ESR4289
ES83327	EXP3727	ESR4242
ES83325	EXP3727	ESR4269
ES83342	EXP3727	ESR4336
ES83342	EXP3727	ESR4337
ES83341	EXP3727	ESR4222
ES83339	EXP3727	ESR4222
ES83339	EXP3727	ESR4431
ES83338	EXP3727	ESR4256
ES83338	EXP3727	ESR4269
ES83335	EXP3727	ESR4278
ES83334	EXP3727	ESR4386
ES83351	EXP3727	ESR4337
ES83350	EXP3727	ESR4269
ES83344	EXP3727	ESR4220
ES83344	EXP3727	ESR4423
ES83343	EXP3727	ESR4253
ES83357	EXP3727	ESR4431
ES83356	EXP3727	ESR4429
ES83354	EXP3727	ESR4242
ES83354	EXP3727	ESR4269
ES83354	EXP3727	ESR4427
ES83369	EXP3727	ESR4336
ES83368	EXP3727	ESR4269
ES83368	EXP3727	ESR4454
ES83366	EXP3727	ESR4325
ES83365	EXP3727	ESR4269
ES83364	EXP3727	ESR4287
ES83361	EXP3727	ESR4269
ES83374	EXP3727	ESR4289
ES83372	EXP3727	ESR4256
ES83371	EXP3727	ESR4219
ES83371	EXP3727	ESR4315
ES83370	EXP3727	ESR4386
ES83383	EXP3727	ESR4315
ES83383	EXP3727	ESR4431
ES83382	EXP3727	ESR4269
ES83382	EXP3727	ESR4278
ES83381	EXP3727	ESR4278
ES83379	EXP3727	ESR4315
ES83379	EXP3727	ESR4423
ES83394	EXP3727	ESR4222
ES83389	EXP3727	ESR4242
ES83387	EXP3727	ESR4269
ES83403	EXP3727	ESR4300
ES83402	EXP3727	ESR4225
ES83400	EXP3727	ESR4429
ES83399	EXP3727	ESR4428
ES83397	EXP3727	ESR4220
ES83397	EXP3727	ESR4278
ES83412	EXP3727	ESR4222
ES83412	EXP3727	ESR4454
ES83409	EXP3727	ESR4289
ES83408	EXP3727	ESR4256
ES83408	EXP3727	ESR4428
ES83405	EXP3727	ESR4243
ES83405	EXP3727	ESR4253
ES83405	EXP3727	ESR4269
ES83420	EXP3727	ESR4264
ES83420	EXP3727	ESR4300
ES83419	EXP3727	ESR4315
ES83419	EXP3727	ESR4325
ES83415	EXP3727	ESR4423
ES83426	EXP3727	ESR4315
ES83425	EXP3727	ESR4278
ES83424	EXP3727	ESR4242
ES83424	EXP3727	ESR4269
ES83424	EXP3727	ESR4427
ES83423	EXP3727	ESR4269
ES83436	EXP3727	ESR4325
ES83434	EXP3727	ESR4431
ES83433	EXP3727	ESR4269
ES83433	EXP3727	ESR4289
ES83431	EXP3727	ESR4427
ES83429	EXP3727	ESR4243
ES83446	EXP3727	ESR4335
ES83445	EXP3727	ESR4222
ES83444	EXP3727	ESR4232
ES83444	EXP3727	ESR4264
ES83440	EXP3727	ESR4256
ES83455	EXP3727	ESR4334
ES83454	EXP3727	ESR4300
ES83450	EXP3727	ESR4256
ES83449	EXP3727	ESR4278
ES83448	EXP3727	ESR4220
ES83448	EXP3727	ESR4278
ES83447	EXP3727	ESR4269
ES83464	EXP3727	ESR4337
ES83457	EXP3727	ESR4220
ES83456	EXP3727	ESR4253
ES83456	EXP3727	ESR4269
ES83466	EXP3727	ESR4220
ES83466	EXP3727	ESR4423
ES83482	EXP3727	ESR4495
ES83480	EXP3727	ESR4232
ES83479	EXP3727	ESR4325
ES83475	EXP3727	ESR4315
ES83491	EXP3727	ESR4337
ES83490	EXP3727	ESR4222
ES83490	EXP3727	ESR4269
ES83489	EXP3727	ESR4225
ES83487	EXP3727	ESR4289
ES83485	EXP3727	ESR4256
ES83485	EXP3727	ESR4278
ES83484	EXP3727	ESR4219
ES83500	EXP3727	ESR4334
ES83499	EXP3727	ESR4454
ES83498	EXP3727	ESR4300
ES83497	EXP3727	ESR4278
ES83496	EXP3727	ESR4289
ES83495	EXP3727	ESR4256
ES83495	EXP3727	ESR4287
ES83494	EXP3727	ESR4256
ES83493	EXP3727	ESR4220
ES83492	EXP3727	ESR4243
ES83505	EXP3727	ESR4278
ES83505	EXP3727	ESR4289
ES83504	EXP3727	ESR4269
ES83504	EXP3727	ESR4278
ES83503	EXP3727	ESR4269
ES83502	EXP3727	ESR4278
ES83501	EXP3727	ESR4269
ES83501	EXP3727	ESR4386
ES83517	EXP3727	ESR4300
ES83516	EXP3727	ESR4264
ES83515	EXP3727	ESR4325
ES83514	EXP3727	ESR4256
ES83512	EXP3727	ESR4269
ES83527	EXP3727	ESR4495
ES83526	EXP3727	ESR4222
ES83525	EXP3727	ESR4264
ES83522	EXP3727	ESR4278
ES83519	EXP3727	ESR4269
ES83519	EXP3727	ESR4386
ES83535	EXP3727	ESR4222
ES83535	EXP3727	ESR4269
ES83535	EXP3727	ESR4300
ES83531	EXP3727	ESR4256
ES83530	EXP3727	ESR4256
ES83529	EXP3727	ESR4219
ES83529	EXP3727	ESR4278
ES83529	EXP3727	ESR4315
ES83528	EXP3727	ESR4269
ES83545	EXP3727	ESR4335
ES83543	EXP3727	ESR4453
ES83541	EXP3727	ESR4256
ES83539	EXP3727	ESR4269
ES83554	EXP3727	ESR4337
ES83552	EXP3727	ESR4325
ES83551	EXP3727	ESR4429
ES83546	EXP3727	ESR4341
ES83562	EXP3727	ESR4222
ES83562	EXP3727	ESR4269
ES83561	EXP3727	ESR4264
ES83559	EXP3727	ESR4289
ES83558	EXP3727	ESR4428
ES83556	EXP3727	ESR4423
ES83568	EXP3727	ESR4256
ES83565	EXP3727	ESR4220
ES83565	EXP3727	ESR4278
ES83565	EXP3727	ESR4315
ES83565	EXP3727	ESR4423
ES83579	EXP3727	ESR4225
ES83579	EXP3727	ESR4264
ES83579	EXP3727	ESR4300
ES83576	EXP3727	ESR4428
