FCS_ANNOTATION_ID	COMPENSATION_FLAG	EXPERIMENT_ACCESSION	EXPSAMPLE_ACCESSION	FILE_INFO_ID	MAXIMUM_INTENSITY	MINIMUM_INTENSITY	NUMBER_OF_EVENTS	NUMBER_OF_MARKERS	PANEL	WORKSPACE_ID
23237	N	EXP3727	ES103428	69972	1023	0	121215	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
23232	N	EXP3727	ES103433	69962	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
23235	N	EXP3727	ES103435	69968	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
22308	N	EXP3727	ES103442	68105	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
22311	N	EXP3727	ES103444	68111	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
23387	N	EXP3727	ES103454	70272	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
23257	N	EXP3727	ES103470	70012	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
23262	N	EXP3727	ES103471	70022	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
23251	N	EXP3727	ES103474	70000	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
23377	N	EXP3727	ES103498	70252	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
22294	N	EXP3727	ES103526	68077	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
23265	N	EXP3727	ES103549	70028	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22040	N	EXP3727	ES103555	67569	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
23305	N	EXP3727	ES103564	70108	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
23120	N	EXP3727	ES103572	69738	1023	0	84465	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
23114	N	EXP3727	ES103574	69726	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
23240	N	EXP3727	ES103583	69978	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
23241	N	EXP3727	ES103586	69980	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
23245	N	EXP3727	ES103589	69988	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
22446	N	EXP3727	ES103616	68381	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
22366	N	EXP3727	ES103617	68221	1023	0	60570	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
22363	N	EXP3727	ES103620	68215	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22358	N	EXP3727	ES103621	68205	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22097	N	EXP3727	ES103626	67683	1023	0	100815	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
22093	N	EXP3727	ES103627	67675	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
22376	N	EXP3727	ES103657	68241	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
23135	N	EXP3727	ES103665	69768	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22075	N	EXP3727	ES103672	67639	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
22073	N	EXP3727	ES103673	67635	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
22328	N	EXP3727	ES103683	68145	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22326	N	EXP3727	ES103685	68141	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
22329	N	EXP3727	ES103687	68147	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
22372	N	EXP3727	ES103692	68233	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22237	N	EXP3727	ES103699	67963	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
22235	N	EXP3727	ES103700	67959	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
23125	N	EXP3727	ES103708	69748	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
23128	N	EXP3727	ES103715	69754	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
23319	N	EXP3727	ES103729	70136	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
23322	N	EXP3727	ES103730	70142	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
22070	N	EXP3727	ES103752	67629	1023	0	130335	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
22109	N	EXP3727	ES103762	67707	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
22108	N	EXP3727	ES103766	67705	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
22393	N	EXP3727	ES103769	68275	1023	0	87960	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
22175	N	EXP3727	ES103781	67839	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22176	N	EXP3727	ES103785	67841	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
23468	N	EXP3727	ES103800	70434	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
23349	N	EXP3727	ES103807	70196	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
23345	N	EXP3727	ES103808	70188	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22232	N	EXP3727	ES103813	67953	1023	0	165915	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
22032	N	EXP3727	ES103851	67553	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22033	N	EXP3727	ES103855	67555	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
22255	N	EXP3727	ES103858	67999	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
22254	N	EXP3727	ES103862	67997	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
23292	N	EXP3727	ES103870	70082	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22199	N	EXP3727	ES103877	67887	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
22298	N	EXP3727	ES103886	68085	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
22101	N	EXP3727	ES103898	67691	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
22099	N	EXP3727	ES103899	67687	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
22140	N	EXP3727	ES103936	67769	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
23152	N	EXP3727	ES103948	69802	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
23354	N	EXP3727	ES103962	70206	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
23339	N	EXP3727	ES103969	70176	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
23337	N	EXP3727	ES103970	70172	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
23343	N	EXP3727	ES103972	70184	1023	0	8310	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
22465	N	EXP3727	ES103973	68419	1023	0	200000	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
22457	N	EXP3727	ES103977	68403	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22460	N	EXP3727	ES103978	68409	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
23370	N	EXP3727	ES103982	70238	1023	0	76095	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
23367	N	EXP3727	ES103985	70232	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22126	N	EXP3727	ES103997	67741	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
22196	N	EXP3727	ES104009	67881	1023	0	124770	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
22192	N	EXP3727	ES104010	67873	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
22189	N	EXP3727	ES104015	67867	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
22977	N	EXP3727	ES104031	69452	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22954	N	EXP3727	ES104037	69406	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
22951	N	EXP3727	ES104042	69400	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
22956	N	EXP3727	ES104043	69410	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
23430	N	EXP3727	ES104061	70358	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
23208	N	EXP3727	ES104070	69914	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
22332	N	EXP3727	ES104085	68153	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22338	N	EXP3727	ES104088	68165	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
23394	N	EXP3727	ES104093	70286	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
23395	N	EXP3727	ES104097	70288	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
23396	N	EXP3727	ES104098	70290	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
22471	N	EXP3727	ES104102	68431	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
23201	N	EXP3727	ES104108	69900	1023	0	200000	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
23456	N	EXP3727	ES104120	70410	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22968	N	EXP3727	ES104148	69434	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22733	N	EXP3727	ES104170	68964	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
22742	N	EXP3727	ES104179	68982	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
23141	N	EXP3727	ES104182	69780	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
23140	N	EXP3727	ES104186	69778	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
22774	N	EXP3727	ES104202	69046	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
23404	N	EXP3727	ES104214	70306	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
22755	N	EXP3727	ES104216	69008	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
22759	N	EXP3727	ES104222	69016	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
22746	N	EXP3727	ES104225	68990	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
22751	N	EXP3727	ES104232	69000	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
23419	N	EXP3727	ES104261	70336	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
22781	N	EXP3727	ES104274	69060	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
23216	N	EXP3727	ES104281	69930	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
23462	N	EXP3727	ES104301	70422	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
23465	N	EXP3727	ES104302	70428	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
23409	N	EXP3727	ES104318	70316	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
22762	N	EXP3727	ES104326	69022	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
23440	N	EXP3727	ES104348	70378	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
23166	N	EXP3727	ES104353	69830	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22884	N	EXP3727	ES104374	69266	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
22853	N	EXP3727	ES104395	69204	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
22918	N	EXP3727	ES104421	69334	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
22789	N	EXP3727	ES104431	69076	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22653	N	EXP3727	ES104450	68804	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22654	N	EXP3727	ES104452	68806	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
23059	N	EXP3727	ES104460	69616	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
22722	N	EXP3727	ES104464	68942	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
22996	N	EXP3727	ES104477	69490	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
23039	N	EXP3727	ES104480	69576	1023	0	200000	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
22814	N	EXP3727	ES104489	69126	1023	0	189195	6	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C	990
22714	N	EXP3727	ES104499	68926	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
22715	N	EXP3727	ES104501	68928	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22713	N	EXP3727	ES104503	68924	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
22711	N	EXP3727	ES104504	68920	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
22866	N	EXP3727	ES104522	69230	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
22946	N	EXP3727	ES104527	69390	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
23070	N	EXP3727	ES104556	69638	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
23016	N	EXP3727	ES104582	69530	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
22669	N	EXP3727	ES104599	68836	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22934	N	EXP3727	ES104613	69366	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
22696	N	EXP3727	ES104622	68890	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
23026	N	EXP3727	ES104647	69550	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
23027	N	EXP3727	ES104649	69552	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
23022	N	EXP3727	ES104650	69542	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
23028	N	EXP3727	ES104653	69554	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
22450	N	EXP3727	ES104657	68389	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
22448	N	EXP3727	ES104659	68385	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22828	N	EXP3727	ES104665	69154	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
22905	N	EXP3727	ES104677	69308	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22988	N	EXP3727	ES104684	69474	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
22993	N	EXP3727	ES104690	69484	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
22834	N	EXP3727	ES104697	69166	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
9505	N	EXP3727	ES147638	45534	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
9508	N	EXP3727	ES147641	45540	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
9513	N	EXP3727	ES147646	45550	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
9519	N	EXP3727	ES147652	45562	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
9535	N	EXP3727	ES147668	45594	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
9539	N	EXP3727	ES147672	45602	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
9540	N	EXP3727	ES147673	45604	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
9550	N	EXP3727	ES147683	45624	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
9575	N	EXP3727	ES147708	45674	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
9585	N	EXP3727	ES147718	45694	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
9590	N	EXP3727	ES147723	45704	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
9599	N	EXP3727	ES147732	45722	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
9609	N	EXP3727	ES147742	45742	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
9617	N	EXP3727	ES147750	45758	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
9623	N	EXP3727	ES147756	45770	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
9626	N	EXP3727	ES147759	45776	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
9648	N	EXP3727	ES147781	45820	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
9664	N	EXP3727	ES147797	45852	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
9673	N	EXP3727	ES147806	45870	1023	0	1695	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
9690	N	EXP3727	ES147823	45904	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
9693	N	EXP3727	ES147826	45910	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
9704	N	EXP3727	ES147837	45932	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
9705	N	EXP3727	ES147838	45934	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
9709	N	EXP3727	ES147842	45942	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
9715	N	EXP3727	ES147848	45954	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
9723	N	EXP3727	ES147856	45970	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
9729	N	EXP3727	ES147862	45982	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
9730	N	EXP3727	ES147863	45984	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
9741	N	EXP3727	ES147874	46006	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
9743	N	EXP3727	ES147876	46010	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
9752	N	EXP3727	ES147885	46028	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
9753	N	EXP3727	ES147886	46030	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
9756	N	EXP3727	ES147889	46036	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
9777	N	EXP3727	ES147910	46078	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
9785	N	EXP3727	ES147918	46094	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
9788	N	EXP3727	ES147921	46100	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
9799	N	EXP3727	ES147932	46122	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
9814	N	EXP3727	ES147947	46152	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
9822	N	EXP3727	ES147955	46168	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
9823	N	EXP3727	ES147956	46170	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
9824	N	EXP3727	ES147957	46172	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
9825	N	EXP3727	ES147958	46174	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
9828	N	EXP3727	ES147961	46180	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
9837	N	EXP3727	ES147970	46198	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
9840	N	EXP3727	ES147973	46204	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
9843	N	EXP3727	ES147976	46210	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
9869	N	EXP3727	ES148002	46262	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
9876	N	EXP3727	ES148009	46276	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
9878	N	EXP3727	ES148011	46280	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
9886	N	EXP3727	ES148019	46296	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
9890	N	EXP3727	ES148023	46304	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
9895	N	EXP3727	ES148028	46314	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
9908	N	EXP3727	ES148041	46340	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
9919	N	EXP3727	ES148052	46362	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
9921	N	EXP3727	ES148054	46366	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
9929	N	EXP3727	ES148062	46382	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
9943	N	EXP3727	ES148076	46410	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
9964	N	EXP3727	ES148097	46452	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
9965	N	EXP3727	ES148098	46454	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
9967	N	EXP3727	ES148100	46458	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
9969	N	EXP3727	ES148102	46462	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
9975	N	EXP3727	ES148108	46474	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
9976	N	EXP3727	ES148109	46476	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
9986	N	EXP3727	ES148119	46496	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
9992	N	EXP3727	ES148125	46508	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
10003	N	EXP3727	ES148136	46530	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
10004	N	EXP3727	ES148137	46532	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
