EXPSAMPLE_ACCESSION	DATA_FORMAT	DESCRIPTION	EXPERIMENT_ACCESSION	NAME	RESULT_SCHEMA	RESULT_TOTAL_RECS	WORKSPACE_ID
ES100016	ELISA		EXP3728		ELISA	1	990
ES100020	ELISA		EXP3728		ELISA	1	990
ES100024	ELISA		EXP3728		ELISA	1	990
ES100026	ELISA		EXP3728		ELISA	1	990
ES100028	ELISA		EXP3728		ELISA	1	990
ES100033	ELISA		EXP3728		ELISA	1	990
ES100050	ELISA		EXP3728		ELISA	1	990
ES100053	ELISA		EXP3728		ELISA	1	990
ES100058	ELISA		EXP3728		ELISA	1	990
ES100087	ELISA		EXP3728		ELISA	1	990
ES100103	ELISA		EXP3728		ELISA	1	990
ES100105	ELISA		EXP3728		ELISA	1	990
ES100113	ELISA		EXP3728		ELISA	1	990
ES100126	ELISA		EXP3728		ELISA	1	990
ES100133	ELISA		EXP3728		ELISA	1	990
ES100135	ELISA		EXP3728		ELISA	1	990
ES100137	ELISA		EXP3728		ELISA	1	990
ES100139	ELISA		EXP3728		ELISA	1	990
ES100149	ELISA		EXP3728		ELISA	1	990
ES100154	ELISA		EXP3728		ELISA	1	990
ES100161	ELISA		EXP3728		ELISA	1	990
ES100166	ELISA		EXP3728		ELISA	1	990
ES100172	ELISA		EXP3728		ELISA	1	990
ES100187	ELISA		EXP3728		ELISA	1	990
ES100199	ELISA		EXP3728		ELISA	1	990
ES100209	ELISA		EXP3728		ELISA	1	990
ES100214	ELISA		EXP3728		ELISA	1	990
ES100218	ELISA		EXP3728		ELISA	1	990
ES100222	ELISA		EXP3728		ELISA	1	990
ES100233	ELISA		EXP3728		ELISA	1	990
ES100245	ELISA		EXP3728		ELISA	1	990
ES100247	ELISA		EXP3728		ELISA	1	990
ES100251	ELISA		EXP3728		ELISA	1	990
ES100254	ELISA		EXP3728		ELISA	1	990
ES100279	ELISA		EXP3728		ELISA	1	990
ES100291	ELISA		EXP3728		ELISA	1	990
ES100300	ELISA		EXP3728		ELISA	1	990
ES100312	ELISA		EXP3728		ELISA	1	990
ES100317	ELISA		EXP3728		ELISA	1	990
ES100318	ELISA		EXP3728		ELISA	1	990
ES100325	ELISA		EXP3728		ELISA	1	990
ES100337	ELISA		EXP3728		ELISA	1	990
ES100338	ELISA		EXP3728		ELISA	1	990
ES100346	ELISA		EXP3728		ELISA	1	990
ES100362	ELISA		EXP3728		ELISA	1	990
ES100363	ELISA		EXP3728		ELISA	1	990
ES100370	ELISA		EXP3728		ELISA	1	990
ES100371	ELISA		EXP3728		ELISA	1	990
ES100381	ELISA		EXP3728		ELISA	1	990
ES100388	ELISA		EXP3728		ELISA	1	990
ES100399	ELISA		EXP3728		ELISA	1	990
ES100406	ELISA		EXP3728		ELISA	1	990
ES100415	ELISA		EXP3728		ELISA	1	990
ES100432	ELISA		EXP3728		ELISA	1	990
ES100438	ELISA		EXP3728		ELISA	1	990
ES100455	ELISA		EXP3728		ELISA	1	990
ES100460	ELISA		EXP3728		ELISA	1	990
ES100462	ELISA		EXP3728		ELISA	1	990
ES100469	ELISA		EXP3728		ELISA	1	990
ES100479	ELISA		EXP3728		ELISA	1	990
ES100486	ELISA		EXP3728		ELISA	1	990
ES100495	ELISA		EXP3728		ELISA	1	990
ES100499	ELISA		EXP3728		ELISA	1	990
ES100521	ELISA		EXP3728		ELISA	1	990
ES100524	ELISA		EXP3728		ELISA	1	990
ES100533	ELISA		EXP3728		ELISA	1	990
ES100537	ELISA		EXP3728		ELISA	1	990
ES100549	ELISA		EXP3728		ELISA	1	990
ES100551	ELISA		EXP3728		ELISA	1	990
ES100557	ELISA		EXP3728		ELISA	1	990
ES100564	ELISA		EXP3728		ELISA	1	990
ES100572	ELISA		EXP3728		ELISA	1	990
ES100585	ELISA		EXP3728		ELISA	1	990
ES100588	ELISA		EXP3728		ELISA	1	990
ES100590	ELISA		EXP3728		ELISA	1	990
ES100595	ELISA		EXP3728		ELISA	1	990
ES100602	ELISA		EXP3728		ELISA	1	990
ES100614	ELISA		EXP3728		ELISA	1	990
ES100625	ELISA		EXP3728		ELISA	1	990
ES100656	ELISA		EXP3728		ELISA	1	990
ES100657	ELISA		EXP3728		ELISA	1	990
ES100663	ELISA		EXP3728		ELISA	1	990
ES100669	ELISA		EXP3728		ELISA	1	990
ES100675	ELISA		EXP3728		ELISA	1	990
ES100684	ELISA		EXP3728		ELISA	1	990
ES100687	ELISA		EXP3728		ELISA	1	990
ES100723	ELISA		EXP3728		ELISA	1	990
ES100724	ELISA		EXP3728		ELISA	1	990
ES100729	ELISA		EXP3728		ELISA	1	990
ES100732	ELISA		EXP3728		ELISA	1	990
ES100734	ELISA		EXP3728		ELISA	1	990
ES100736	ELISA		EXP3728		ELISA	1	990
ES100740	ELISA		EXP3728		ELISA	1	990
ES100741	ELISA		EXP3728		ELISA	1	990
ES100743	ELISA		EXP3728		ELISA	1	990
ES100751	ELISA		EXP3728		ELISA	1	990
ES100754	ELISA		EXP3728		ELISA	1	990
ES100755	ELISA		EXP3728		ELISA	1	990
ES100758	ELISA		EXP3728		ELISA	1	990
ES100770	ELISA		EXP3728		ELISA	1	990
ES100784	ELISA		EXP3728		ELISA	1	990
ES100799	ELISA		EXP3728		ELISA	1	990
ES100800	ELISA		EXP3728		ELISA	1	990
ES100812	ELISA		EXP3728		ELISA	1	990
ES100829	ELISA		EXP3728		ELISA	1	990
ES100834	ELISA		EXP3728		ELISA	1	990
ES100839	ELISA		EXP3728		ELISA	1	990
ES100840	ELISA		EXP3728		ELISA	1	990
ES100860	ELISA		EXP3728		ELISA	1	990
ES100864	ELISA		EXP3728		ELISA	1	990
ES100870	ELISA		EXP3728		ELISA	1	990
ES100872	ELISA		EXP3728		ELISA	1	990
ES100878	ELISA		EXP3728		ELISA	1	990
ES103430	Flow_Cytometry		EXP3727		FCM	16	990
ES103434	Flow_Cytometry		EXP3727		FCM	16	990
ES103435	Flow_Cytometry		EXP3727		FCM	16	990
ES103441	Flow_Cytometry		EXP3727		FCM	32	990
ES103452	Flow_Cytometry		EXP3727		FCM	16	990
ES103464	Flow_Cytometry		EXP3727		FCM	5	990
ES103477	Flow_Cytometry		EXP3727		FCM	32	990
ES103487	Flow_Cytometry		EXP3727		FCM	32	990
ES103496	Flow_Cytometry		EXP3727		FCM	32	990
ES103500	Flow_Cytometry		EXP3727		FCM	5	990
ES103501	Flow_Cytometry		EXP3727		FCM	16	990
ES103505	Flow_Cytometry		EXP3727		FCM	32	990
ES103507	Flow_Cytometry		EXP3727		FCM	16	990
ES103529	Flow_Cytometry		EXP3727		FCM	16	990
ES103534	Flow_Cytometry		EXP3727		FCM	16	990
ES103538	Flow_Cytometry		EXP3727		FCM	16	990
ES103556	Flow_Cytometry		EXP3727		FCM	16	990
ES103557	Flow_Cytometry		EXP3727		FCM	32	990
ES103558	Flow_Cytometry		EXP3727		FCM	32	990
ES103559	Flow_Cytometry		EXP3727		FCM	32	990
ES103564	Flow_Cytometry		EXP3727		FCM	16	990
ES103567	Flow_Cytometry		EXP3727		FCM	32	990
ES103568	Flow_Cytometry		EXP3727		FCM	32	990
ES103569	Flow_Cytometry		EXP3727		FCM	16	990
ES103574	Flow_Cytometry		EXP3727		FCM	16	990
ES103583	Flow_Cytometry		EXP3727		FCM	16	990
ES103588	Flow_Cytometry		EXP3727		FCM	16	990
ES103605	Flow_Cytometry		EXP3727		FCM	16	990
ES103615	Flow_Cytometry		EXP3727		FCM	16	990
ES103616	Flow_Cytometry		EXP3727		FCM	16	990
ES103637	Flow_Cytometry		EXP3727		FCM	16	990
ES103639	Flow_Cytometry		EXP3727		FCM	32	990
ES103646	Flow_Cytometry		EXP3727		FCM	16	990
ES103648	Flow_Cytometry		EXP3727		FCM	32	990
ES103654	Flow_Cytometry		EXP3727		FCM	16	990
ES103659	Flow_Cytometry		EXP3727		FCM	16	990
ES103662	Flow_Cytometry		EXP3727		FCM	5	990
ES103673	Flow_Cytometry		EXP3727		FCM	16	990
ES103674	Flow_Cytometry		EXP3727		FCM	32	990
ES103675	Flow_Cytometry		EXP3727		FCM	32	990
ES103682	Flow_Cytometry		EXP3727		FCM	16	990
ES103700	Flow_Cytometry		EXP3727		FCM	16	990
ES103708	Flow_Cytometry		EXP3727		FCM	16	990
ES103717	Flow_Cytometry		EXP3727		FCM	16	990
ES103719	Flow_Cytometry		EXP3727		FCM	32	990
ES103722	Flow_Cytometry		EXP3727		FCM	16	990
ES103727	Flow_Cytometry		EXP3727		FCM	16	990
ES103732	Flow_Cytometry		EXP3727		FCM	16	990
ES103737	Flow_Cytometry		EXP3727		FCM	32	990
ES103739	Flow_Cytometry		EXP3727		FCM	32	990
ES103741	Flow_Cytometry		EXP3727		FCM	16	990
ES103784	Flow_Cytometry		EXP3727		FCM	16	990
ES103801	Flow_Cytometry		EXP3727		FCM	32	990
ES103802	Flow_Cytometry		EXP3727		FCM	16	990
ES103805	Flow_Cytometry		EXP3727		FCM	5	990
ES103806	Flow_Cytometry		EXP3727		FCM	16	990
ES103815	Flow_Cytometry		EXP3727		FCM	16	990
ES103829	Flow_Cytometry		EXP3727		FCM	16	990
ES103830	Flow_Cytometry		EXP3727		FCM	16	990
ES103834	Flow_Cytometry		EXP3727		FCM	32	990
ES103837	Flow_Cytometry		EXP3727		FCM	16	990
ES103840	Flow_Cytometry		EXP3727		FCM	16	990
ES103850	Flow_Cytometry		EXP3727		FCM	16	990
ES103860	Flow_Cytometry		EXP3727		FCM	32	990
ES103867	Flow_Cytometry		EXP3727		FCM	16	990
ES103869	Flow_Cytometry		EXP3727		FCM	32	990
ES103880	Flow_Cytometry		EXP3727		FCM	32	990
ES103910	Flow_Cytometry		EXP3727		FCM	16	990
ES103911	Flow_Cytometry		EXP3727		FCM	5	990
ES103920	Flow_Cytometry		EXP3727		FCM	5	990
ES103928	Flow_Cytometry		EXP3727		FCM	16	990
ES103948	Flow_Cytometry		EXP3727		FCM	16	990
ES103964	Flow_Cytometry		EXP3727		FCM	16	990
ES103972	Flow_Cytometry		EXP3727		FCM	16	990
ES103998	Flow_Cytometry		EXP3727		FCM	16	990
ES104002	Flow_Cytometry		EXP3727		FCM	16	990
ES104005	Flow_Cytometry		EXP3727		FCM	32	990
ES104015	Flow_Cytometry		EXP3727		FCM	16	990
ES104020	Flow_Cytometry		EXP3727		FCM	16	990
ES104031	Flow_Cytometry		EXP3727		FCM	16	990
ES104035	Flow_Cytometry		EXP3727		FCM	16	990
ES104063	Flow_Cytometry		EXP3727		FCM	5	990
ES104065	Flow_Cytometry		EXP3727		FCM	16	990
ES104075	Flow_Cytometry		EXP3727		FCM	16	990
ES104081	Flow_Cytometry		EXP3727		FCM	5	990
ES104090	Flow_Cytometry		EXP3727		FCM	5	990
ES104091	Flow_Cytometry		EXP3727		FCM	16	990
ES104100	Flow_Cytometry		EXP3727		FCM	16	990
ES104101	Flow_Cytometry		EXP3727		FCM	16	990
ES104103	Flow_Cytometry		EXP3727		FCM	16	990
ES104106	Flow_Cytometry		EXP3727		FCM	16	990
ES104113	Flow_Cytometry		EXP3727		FCM	16	990
ES104116	Flow_Cytometry		EXP3727		FCM	16	990
ES104117	Flow_Cytometry		EXP3727		FCM	5	990
ES104118	Flow_Cytometry		EXP3727		FCM	16	990
ES104120	Flow_Cytometry		EXP3727		FCM	16	990
ES104125	Flow_Cytometry		EXP3727		FCM	16	990
ES104144	Flow_Cytometry		EXP3727		FCM	5	990
ES104146	Flow_Cytometry		EXP3727		FCM	16	990
ES104165	Flow_Cytometry		EXP3727		FCM	16	990
ES104175	Flow_Cytometry		EXP3727		FCM	16	990
ES104185	Flow_Cytometry		EXP3727		FCM	16	990
ES104200	Flow_Cytometry		EXP3727		FCM	16	990
ES104219	Flow_Cytometry		EXP3727		FCM	16	990
ES104221	Flow_Cytometry		EXP3727		FCM	5	990
ES104228	Flow_Cytometry		EXP3727		FCM	16	990
ES104232	Flow_Cytometry		EXP3727		FCM	16	990
ES104240	Flow_Cytometry		EXP3727		FCM	16	990
ES104260	Flow_Cytometry		EXP3727		FCM	5	990
ES104267	Flow_Cytometry		EXP3727		FCM	16	990
ES104277	Flow_Cytometry		EXP3727		FCM	16	990
ES104281	Flow_Cytometry		EXP3727		FCM	16	990
ES104291	Flow_Cytometry		EXP3727		FCM	16	990
ES104292	Flow_Cytometry		EXP3727		FCM	16	990
ES104305	Flow_Cytometry		EXP3727		FCM	16	990
ES104309	Flow_Cytometry		EXP3727		FCM	16	990
ES104319	Flow_Cytometry		EXP3727		FCM	16	990
ES104326	Flow_Cytometry		EXP3727		FCM	16	990
ES104328	Flow_Cytometry		EXP3727		FCM	16	990
ES104335	Flow_Cytometry		EXP3727		FCM	16	990
ES104345	Flow_Cytometry		EXP3727		FCM	16	990
ES104351	Flow_Cytometry		EXP3727		FCM	16	990
ES104358	Flow_Cytometry		EXP3727		FCM	16	990
ES104360	Flow_Cytometry		EXP3727		FCM	16	990
ES104365	Flow_Cytometry		EXP3727		FCM	16	990
ES104367	Flow_Cytometry		EXP3727		FCM	5	990
ES104376	Flow_Cytometry		EXP3727		FCM	5	990
ES104379	Flow_Cytometry		EXP3727		FCM	16	990
ES104393	Flow_Cytometry		EXP3727		FCM	5	990
ES104395	Flow_Cytometry		EXP3727		FCM	16	990
ES104397	Flow_Cytometry		EXP3727		FCM	16	990
ES104416	Flow_Cytometry		EXP3727		FCM	16	990
ES104442	Flow_Cytometry		EXP3727		FCM	16	990
ES104448	Flow_Cytometry		EXP3727		FCM	16	990
ES104450	Flow_Cytometry		EXP3727		FCM	16	990
ES104457	Flow_Cytometry		EXP3727		FCM	16	990
ES104469	Flow_Cytometry		EXP3727		FCM	16	990
ES104470	Flow_Cytometry		EXP3727		FCM	16	990
ES104474	Flow_Cytometry		EXP3727		FCM	16	990
ES104480	Flow_Cytometry		EXP3727		FCM	5	990
ES104491	Flow_Cytometry		EXP3727		FCM	16	990
ES104497	Flow_Cytometry		EXP3727		FCM	16	990
ES104505	Flow_Cytometry		EXP3727		FCM	16	990
ES104520	Flow_Cytometry		EXP3727		FCM	16	990
ES104528	Flow_Cytometry		EXP3727		FCM	16	990
ES104551	Flow_Cytometry		EXP3727		FCM	5	990
ES104577	Flow_Cytometry		EXP3727		FCM	5	990
ES104579	Flow_Cytometry		EXP3727		FCM	16	990
ES104597	Flow_Cytometry		EXP3727		FCM	16	990
ES104608	Flow_Cytometry		EXP3727		FCM	16	990
ES104611	Flow_Cytometry		EXP3727		FCM	5	990
ES104616	Flow_Cytometry		EXP3727		FCM	16	990
ES104620	Flow_Cytometry		EXP3727		FCM	5	990
ES104637	Flow_Cytometry		EXP3727		FCM	5	990
ES104647	Flow_Cytometry		EXP3727		FCM	16	990
ES147631	Flow_Cytometry		EXP3727		FCM	0	990
ES147637	Flow_Cytometry		EXP3727		FCM	0	990
ES147646	Flow_Cytometry		EXP3727		FCM	0	990
ES147647	Flow_Cytometry		EXP3727		FCM	0	990
ES147661	Flow_Cytometry		EXP3727		FCM	0	990
ES147668	Flow_Cytometry		EXP3727		FCM	0	990
ES147672	Flow_Cytometry		EXP3727		FCM	0	990
ES147679	Flow_Cytometry		EXP3727		FCM	0	990
ES147681	Flow_Cytometry		EXP3727		FCM	0	990
ES147684	Flow_Cytometry		EXP3727		FCM	0	990
ES147721	Flow_Cytometry		EXP3727		FCM	0	990
ES147724	Flow_Cytometry		EXP3727		FCM	0	990
ES147728	Flow_Cytometry		EXP3727		FCM	0	990
ES147730	Flow_Cytometry		EXP3727		FCM	0	990
ES147733	Flow_Cytometry		EXP3727		FCM	0	990
ES147748	Flow_Cytometry		EXP3727		FCM	0	990
ES147776	Flow_Cytometry		EXP3727		FCM	0	990
ES147784	Flow_Cytometry		EXP3727		FCM	0	990
ES147786	Flow_Cytometry		EXP3727		FCM	0	990
ES147788	Flow_Cytometry		EXP3727		FCM	0	990
ES147791	Flow_Cytometry		EXP3727		FCM	0	990
ES147805	Flow_Cytometry		EXP3727		FCM	0	990
ES147823	Flow_Cytometry		EXP3727		FCM	0	990
ES147829	Flow_Cytometry		EXP3727		FCM	0	990
ES147843	Flow_Cytometry		EXP3727		FCM	0	990
ES147848	Flow_Cytometry		EXP3727		FCM	0	990
ES147855	Flow_Cytometry		EXP3727		FCM	0	990
ES147872	Flow_Cytometry		EXP3727		FCM	0	990
ES147873	Flow_Cytometry		EXP3727		FCM	0	990
ES147875	Flow_Cytometry		EXP3727		FCM	0	990
ES147883	Flow_Cytometry		EXP3727		FCM	0	990
ES147884	Flow_Cytometry		EXP3727		FCM	0	990
ES147908	Flow_Cytometry		EXP3727		FCM	0	990
ES147914	Flow_Cytometry		EXP3727		FCM	0	990
ES147917	Flow_Cytometry		EXP3727		FCM	0	990
ES147925	Flow_Cytometry		EXP3727		FCM	0	990
ES147928	Flow_Cytometry		EXP3727		FCM	0	990
ES147966	Flow_Cytometry		EXP3727		FCM	0	990
ES147972	Flow_Cytometry		EXP3727		FCM	0	990
ES147986	Flow_Cytometry		EXP3727		FCM	0	990
ES147989	Flow_Cytometry		EXP3727		FCM	0	990
ES147995	Flow_Cytometry		EXP3727		FCM	0	990
ES148006	Flow_Cytometry		EXP3727		FCM	0	990
ES148016	Flow_Cytometry		EXP3727		FCM	0	990
ES148025	Flow_Cytometry		EXP3727		FCM	0	990
ES148033	Flow_Cytometry		EXP3727		FCM	0	990
ES148036	Flow_Cytometry		EXP3727		FCM	0	990
ES148040	Flow_Cytometry		EXP3727		FCM	0	990
ES148041	Flow_Cytometry		EXP3727		FCM	0	990
ES148070	Flow_Cytometry		EXP3727		FCM	0	990
ES148080	Flow_Cytometry		EXP3727		FCM	0	990
ES148084	Flow_Cytometry		EXP3727		FCM	0	990
ES148085	Flow_Cytometry		EXP3727		FCM	0	990
ES148087	Flow_Cytometry		EXP3727		FCM	0	990
ES148089	Flow_Cytometry		EXP3727		FCM	0	990
ES148091	Flow_Cytometry		EXP3727		FCM	0	990
ES148093	Flow_Cytometry		EXP3727		FCM	0	990
ES148097	Flow_Cytometry		EXP3727		FCM	0	990
ES148100	Flow_Cytometry		EXP3727		FCM	0	990
ES148111	Flow_Cytometry		EXP3727		FCM	0	990
ES148112	Flow_Cytometry		EXP3727		FCM	0	990
ES148121	Flow_Cytometry		EXP3727		FCM	0	990
ES148126	Flow_Cytometry		EXP3727		FCM	0	990
ES148130	Flow_Cytometry		EXP3727		FCM	0	990
ES148152	Flow_Cytometry		EXP3727		FCM	0	990
ES148166	Flow_Cytometry		EXP3727		FCM	0	990
ES148168	Flow_Cytometry		EXP3727		FCM	0	990
ES148172	Flow_Cytometry		EXP3727		FCM	0	990
ES148179	Flow_Cytometry		EXP3727		FCM	0	990
ES148195	Flow_Cytometry		EXP3727		FCM	0	990
ES148198	Flow_Cytometry		EXP3727		FCM	0	990
ES148201	Flow_Cytometry		EXP3727		FCM	0	990
ES148207	Flow_Cytometry		EXP3727		FCM	0	990
ES148209	Flow_Cytometry		EXP3727		FCM	0	990
ES148215	Flow_Cytometry		EXP3727		FCM	0	990
ES148221	Flow_Cytometry		EXP3727		FCM	0	990
ES148223	Flow_Cytometry		EXP3727		FCM	0	990
ES148226	Flow_Cytometry		EXP3727		FCM	0	990
ES148230	Flow_Cytometry		EXP3727		FCM	0	990
ES148233	Flow_Cytometry		EXP3727		FCM	0	990
ES148246	Flow_Cytometry		EXP3727		FCM	0	990
ES148248	Flow_Cytometry		EXP3727		FCM	0	990
ES148249	Flow_Cytometry		EXP3727		FCM	0	990
ES148255	Flow_Cytometry		EXP3727		FCM	0	990
ES148257	Flow_Cytometry		EXP3727		FCM	0	990
ES148270	Flow_Cytometry		EXP3727		FCM	0	990
ES148283	Flow_Cytometry		EXP3727		FCM	0	990
ES148289	Flow_Cytometry		EXP3727		FCM	0	990
ES148299	Flow_Cytometry		EXP3727		FCM	0	990
ES148301	Flow_Cytometry		EXP3727		FCM	0	990
ES148309	Flow_Cytometry		EXP3727		FCM	0	990
ES148315	Flow_Cytometry		EXP3727		FCM	0	990
ES148321	Flow_Cytometry		EXP3727		FCM	0	990
ES148335	Flow_Cytometry		EXP3727		FCM	0	990
ES148359	Flow_Cytometry		EXP3727		FCM	0	990
ES148363	Flow_Cytometry		EXP3727		FCM	0	990
ES148368	Flow_Cytometry		EXP3727		FCM	0	990
ES148373	Flow_Cytometry		EXP3727		FCM	0	990
ES148374	Flow_Cytometry		EXP3727		FCM	0	990
ES148376	Flow_Cytometry		EXP3727		FCM	0	990
ES148389	Flow_Cytometry		EXP3727		FCM	0	990
ES148396	Flow_Cytometry		EXP3727		FCM	0	990
ES148404	Flow_Cytometry		EXP3727		FCM	0	990
ES148405	Flow_Cytometry		EXP3727		FCM	0	990
ES148409	Flow_Cytometry		EXP3727		FCM	0	990
ES148411	Flow_Cytometry		EXP3727		FCM	0	990
ES148420	Flow_Cytometry		EXP3727		FCM	0	990
ES148432	Flow_Cytometry		EXP3727		FCM	0	990
ES148433	Flow_Cytometry		EXP3727		FCM	0	990
ES148435	Flow_Cytometry		EXP3727		FCM	0	990
ES148439	Flow_Cytometry		EXP3727		FCM	0	990
ES148453	Flow_Cytometry		EXP3727		FCM	0	990
ES148458	Flow_Cytometry		EXP3727		FCM	0	990
ES148462	Flow_Cytometry		EXP3727		FCM	0	990
ES148465	Flow_Cytometry		EXP3727		FCM	0	990
ES148471	Flow_Cytometry		EXP3727		FCM	0	990
ES148473	Flow_Cytometry		EXP3727		FCM	0	990
ES148478	Flow_Cytometry		EXP3727		FCM	0	990
ES148480	Flow_Cytometry		EXP3727		FCM	0	990
ES148489	Flow_Cytometry		EXP3727		FCM	0	990
ES148496	Flow_Cytometry		EXP3727		FCM	0	990
ES148501	Flow_Cytometry		EXP3727		FCM	0	990
ES148504	Flow_Cytometry		EXP3727		FCM	0	990
ES148515	Flow_Cytometry		EXP3727		FCM	0	990
ES148519	Flow_Cytometry		EXP3727		FCM	0	990
ES148530	Flow_Cytometry		EXP3727		FCM	0	990
ES148533	Flow_Cytometry		EXP3727		FCM	0	990
ES148538	Flow_Cytometry		EXP3727		FCM	0	990
ES148549	Flow_Cytometry		EXP3727		FCM	0	990
ES148560	Flow_Cytometry		EXP3727		FCM	0	990
ES148561	Flow_Cytometry		EXP3727		FCM	0	990
ES148569	Flow_Cytometry		EXP3727		FCM	0	990
ES148571	Flow_Cytometry		EXP3727		FCM	0	990
ES148572	Flow_Cytometry		EXP3727		FCM	0	990
ES148576	Flow_Cytometry		EXP3727		FCM	0	990
ES148581	Flow_Cytometry		EXP3727		FCM	0	990
ES148593	Flow_Cytometry		EXP3727		FCM	0	990
ES148598	Flow_Cytometry		EXP3727		FCM	0	990
ES148602	Flow_Cytometry		EXP3727		FCM	0	990
ES148621	Flow_Cytometry		EXP3727		FCM	0	990
ES148625	Flow_Cytometry		EXP3727		FCM	0	990
ES148626	Flow_Cytometry		EXP3727		FCM	0	990
ES148628	Flow_Cytometry		EXP3727		FCM	0	990
ES148631	Flow_Cytometry		EXP3727		FCM	0	990
ES148636	Flow_Cytometry		EXP3727		FCM	0	990
ES148640	Flow_Cytometry		EXP3727		FCM	0	990
ES148641	Flow_Cytometry		EXP3727		FCM	0	990
ES148645	Flow_Cytometry		EXP3727		FCM	0	990
ES148651	Flow_Cytometry		EXP3727		FCM	0	990
ES148654	Flow_Cytometry		EXP3727		FCM	0	990
ES148656	Flow_Cytometry		EXP3727		FCM	0	990
ES148662	Flow_Cytometry		EXP3727		FCM	0	990
ES148664	Flow_Cytometry		EXP3727		FCM	0	990
ES148667	Flow_Cytometry		EXP3727		FCM	0	990
ES148671	Flow_Cytometry		EXP3727		FCM	0	990
ES148683	Flow_Cytometry		EXP3727		FCM	0	990
ES148688	Flow_Cytometry		EXP3727		FCM	0	990
ES148694	Flow_Cytometry		EXP3727		FCM	0	990
ES148700	Flow_Cytometry		EXP3727		FCM	0	990
ES148708	Flow_Cytometry		EXP3727		FCM	0	990
ES148712	Flow_Cytometry		EXP3727		FCM	0	990
ES148724	Flow_Cytometry		EXP3727		FCM	0	990
ES148739	Flow_Cytometry		EXP3727		FCM	0	990
ES148743	Flow_Cytometry		EXP3727		FCM	0	990
ES148744	Flow_Cytometry		EXP3727		FCM	0	990
ES148763	Flow_Cytometry		EXP3727		FCM	0	990
ES148773	Flow_Cytometry		EXP3727		FCM	0	990
ES148778	Flow_Cytometry		EXP3727		FCM	0	990
ES148812	Flow_Cytometry		EXP3727		FCM	0	990
ES148817	Flow_Cytometry		EXP3727		FCM	0	990
ES148818	Flow_Cytometry		EXP3727		FCM	0	990
ES148828	Flow_Cytometry		EXP3727		FCM	0	990
ES148838	Flow_Cytometry		EXP3727		FCM	0	990
ES148840	Flow_Cytometry		EXP3727		FCM	0	990
ES148847	Flow_Cytometry		EXP3727		FCM	0	990
ES148853	Flow_Cytometry		EXP3727		FCM	0	990
ES148857	Flow_Cytometry		EXP3727		FCM	0	990
ES148864	Flow_Cytometry		EXP3727		FCM	0	990
ES148866	Flow_Cytometry		EXP3727		FCM	0	990
ES148875	Flow_Cytometry		EXP3727		FCM	0	990
ES148878	Flow_Cytometry		EXP3727		FCM	0	990
ES148892	Flow_Cytometry		EXP3727		FCM	0	990
ES148901	Flow_Cytometry		EXP3727		FCM	0	990
ES148906	Flow_Cytometry		EXP3727		FCM	0	990
ES148924	Flow_Cytometry		EXP3727		FCM	0	990
ES148932	Flow_Cytometry		EXP3727		FCM	0	990
ES148939	Flow_Cytometry		EXP3727		FCM	0	990
ES148942	Flow_Cytometry		EXP3727		FCM	0	990
ES148956	Flow_Cytometry		EXP3727		FCM	0	990
ES148979	Flow_Cytometry		EXP3727		FCM	0	990
ES148994	Flow_Cytometry		EXP3727		FCM	0	990
ES148997	Flow_Cytometry		EXP3727		FCM	0	990
ES149004	Flow_Cytometry		EXP3727		FCM	0	990
ES149015	Flow_Cytometry		EXP3727		FCM	0	990
ES149031	Flow_Cytometry		EXP3727		FCM	0	990
ES149043	Flow_Cytometry		EXP3727		FCM	0	990
ES149044	Flow_Cytometry		EXP3727		FCM	0	990
ES149050	Flow_Cytometry		EXP3727		FCM	0	990
ES149054	Flow_Cytometry		EXP3727		FCM	0	990
ES149057	Flow_Cytometry		EXP3727		FCM	0	990
ES149066	Flow_Cytometry		EXP3727		FCM	0	990
ES149079	Flow_Cytometry		EXP3727		FCM	0	990
ES149084	Flow_Cytometry		EXP3727		FCM	0	990
ES149091	Flow_Cytometry		EXP3727		FCM	0	990
ES149099	Flow_Cytometry		EXP3727		FCM	0	990
ES149100	Flow_Cytometry		EXP3727		FCM	0	990
ES149103	Flow_Cytometry		EXP3727		FCM	0	990
ES149109	Flow_Cytometry		EXP3727		FCM	0	990
ES149112	Flow_Cytometry		EXP3727		FCM	0	990
ES149117	Flow_Cytometry		EXP3727		FCM	0	990
ES149146	Flow_Cytometry		EXP3727		FCM	0	990
ES149151	Flow_Cytometry		EXP3727		FCM	0	990
ES149166	Flow_Cytometry		EXP3727		FCM	0	990
ES149171	Flow_Cytometry		EXP3727		FCM	0	990
ES149184	Flow_Cytometry		EXP3727		FCM	0	990
ES149196	Flow_Cytometry		EXP3727		FCM	0	990
ES149206	Flow_Cytometry		EXP3727		FCM	0	990
ES149210	Flow_Cytometry		EXP3727		FCM	0	990
ES149217	Flow_Cytometry		EXP3727		FCM	0	990
ES149231	Flow_Cytometry		EXP3727		FCM	0	990
ES149233	Flow_Cytometry		EXP3727		FCM	0	990
ES149236	Flow_Cytometry		EXP3727		FCM	0	990
ES149237	Flow_Cytometry		EXP3727		FCM	0	990
ES149239	Flow_Cytometry		EXP3727		FCM	0	990
ES149257	Flow_Cytometry		EXP3727		FCM	0	990
ES149262	Flow_Cytometry		EXP3727		FCM	0	990
ES149263	Flow_Cytometry		EXP3727		FCM	0	990
