FCS_HEADER_ID	PARAMETER_NUMBER	PNN_REPORTED	PNS_REPORTED	PNN_PREFERRED	PNN_PREFERRED_TERM_ID	PNS_PREFERRED	PNS_PREFERRED_TERM_ID
142862	6	FL4-H	APC CD11C				
88955	1	FSC-H	FSC				
88955	2	SSC-H	SSC				
88955	3	FL1-H	FITC CD14				
88955	4	FL2-H	PE CD23				
88955	5	FL3-H	PP CD3				
88955	6	FL4-H	APC CD19				
111710	1	FSC-H	FSC				
111710	2	SSC-H	SSC				
111710	3	FL1-H	FITC CD4				
111710	4	FL2-H	PE CCR3				
111710	5	FL3-H	PP CD8				
111710	6	FL4-H	APC CCR4				
132467	1	FSC-H	FSC				
132467	2	SSC-H	SSC				
132467	3	FL1-H	FITC CD4				
132467	4	FL2-H	PE CD25				
132467	5	FL3-H	PP CD3				
132467	6	FL4-H	APC CD161				
151173	1	FSC-H	FSC				
151173	2	SSC-H	SSC				
151173	3	FL1-H	FITC CD4				
151173	4	FL2-H	PE CD25				
151173	5	FL3-H	PP CD3				
151173	6	FL4-H	APC CD45RA				
115829	1	FSC-H	FSC				
115829	2	SSC-H	SSC				
115829	3	FL1-H	FITC CD4				
115829	4	FL2-H	PE CD25				
115829	5	FL3-H	PP CD3				
115829	6	FL4-H	APC CD45RO				
90971	1	FSC-H	FSC				
90971	2	SSC-H	SSC				
90971	3	FL1-H	FITC CD4				
90971	4	FL2-H	PE CXCR3				
90971	5	FL3-H	PP CD8				
90971	6	FL4-H	APC CCR5				
85081	1	FSC-H	FSC				
85081	2	SSC-H	SSC				
85081	3	FL1-H	FITC CD56				
85081	4	FL2-H	PE CXCR3				
85081	5	FL3-H	PP CD3				
85081	6	FL4-H	APC CCR5				
141238	1	FSC-H	FSC				
141238	2	SSC-H	SSC				
141238	3	FL1-H	AUTO1				
141238	4	FL2-H	AUTO2				
141238	5	FL3-H	AUTO3				
141238	6	FL4-H	AUTO4				
139219	1	FSC-H	Forward Scatter				
139219	2	SSC-H	Side Scatter				
139219	3	FL1-H	Anti-HLA-DR FITC				
139219	4	FL2-H	PE CD123				
139219	5	FL3-H	PP CD3 14 19 56				
139219	6	FL4-H	APC CD11C				
135148	1	FSC-H	FSC				
135148	2	SSC-H	SSC				
135148	3	FL1-H	FITC CD14				
135148	4	FL2-H	PE CD23				
135148	5	FL3-H	PP CD3				
135148	6	FL4-H	APC CD19				
124524	1	FSC-H	FSC				
124524	2	SSC-H	SSC				
124524	3	FL1-H	FITC CD4				
124524	4	FL2-H	PE CCR3				
124524	5	FL3-H	PP CD8				
124524	6	FL4-H	APC CCR4				
146451	1	FSC-H	FSC				
146451	2	SSC-H	SSC				
146451	3	FL1-H	FITC CD4				
146451	4	FL2-H	PE CD25				
146451	5	FL3-H	PP CD3				
146451	6	FL4-H	APC CD161				
138968	1	FSC-H	FSC				
138968	2	SSC-H	SSC				
138968	3	FL1-H	FITC CD4				
138968	4	FL2-H	PE CD25				
138968	5	FL3-H	PP CD3				
138968	6	FL4-H	APC CD45RA				
97258	1	FSC-H	FSC				
97258	2	SSC-H	SSC				
97258	3	FL1-H	FITC CD4				
97258	4	FL2-H	PE CD25				
97258	5	FL3-H	PP CD3				
97258	6	FL4-H	APC CD45RO				
85018	1	FSC-H	FSC				
85018	2	SSC-H	SSC				
85018	3	FL1-H	FITC CD4				
85018	4	FL2-H	PE CXCR3				
85018	5	FL3-H	PP CD8				
85018	6	FL4-H	APC CCR5				
120819	1	FSC-H	FSC				
120819	2	SSC-H	SSC				
120819	3	FL1-H	FITC CD56				
120819	4	FL2-H	PE CXCR3				
120819	5	FL3-H	PP CD3				
120819	6	FL4-H	APC CCR5				
75966	1	FSC-H	FSC				
75966	2	SSC-H	SSC				
75966	3	FL1-H	AUTO1				
75966	4	FL2-H	AUTO2				
75966	5	FL3-H	AUTO3				
75966	6	FL4-H	AUTO4				
97299	1	FSC-H	Forward Scatter				
97299	2	SSC-H	Side Scatter				
97299	3	FL1-H	Anti-HLA-DR FITC				
97299	4	FL2-H	PE CD123				
97299	5	FL3-H	PP CD3 14 19 56				
97299	6	FL4-H	APC CD11C				
84838	1	FSC-H	FSC				
84838	2	SSC-H	SSC				
84838	3	FL1-H	FITC CD14				
84838	4	FL2-H	PE CD23				
84838	5	FL3-H	PP CD3				
84838	6	FL4-H	APC CD19				
149778	1	FSC-H	FSC				
149778	2	SSC-H	SSC				
149778	3	FL1-H	FITC CD4				
149778	4	FL2-H	PE CCR3				
149778	5	FL3-H	PP CD8				
149778	6	FL4-H	APC CCR4				
113414	1	FSC-H	FSC				
113414	2	SSC-H	SSC				
113414	3	FL1-H	FITC CD4				
113414	4	FL2-H	PE CD25				
113414	5	FL3-H	PP CD3				
113414	6	FL4-H	APC CD161				
103813	1	FSC-H	FSC				
103813	2	SSC-H	SSC				
103813	3	FL1-H	FITC CD4				
103813	4	FL2-H	PE CD25				
103813	5	FL3-H	PP CD3				
103813	6	FL4-H	APC CD45RA				
128862	1	FSC-H	FSC				
128862	2	SSC-H	SSC				
128862	3	FL1-H	FITC CD4				
128862	4	FL2-H	PE CD25				
128862	5	FL3-H	PP CD3				
128862	6	FL4-H	APC CD45RO				
126433	1	FSC-H	FSC				
126433	2	SSC-H	SSC				
126433	3	FL1-H	FITC CD4				
126433	4	FL2-H	PE CXCR3				
126433	5	FL3-H	PP CD8				
126433	6	FL4-H	APC CCR5				
75978	1	FSC-H	FSC				
75978	2	SSC-H	SSC				
75978	3	FL1-H	FITC CD56				
75978	4	FL2-H	PE CXCR3				
75978	5	FL3-H	PP CD3				
75978	6	FL4-H	APC CCR5				
107465	1	FSC-H	FSC				
107465	2	SSC-H	SSC				
107465	3	FL1-H	AUTO1				
107465	4	FL2-H	AUTO2				
107465	5	FL3-H	AUTO3				
107465	6	FL4-H	AUTO4				
107356	1	FSC-H	Forward Scatter				
107356	2	SSC-H	Side Scatter				
107356	3	FL1-H	Anti-HLA-DR FITC				
107356	4	FL2-H	PE CD123				
107356	5	FL3-H	PP CD3 14 19 56				
107356	6	FL4-H	APC CD11C				
89379	1	FSC-H	FSC				
89379	2	SSC-H	SSC				
89379	3	FL1-H	FITC CD14				
89379	4	FL2-H	PE CD23				
89379	5	FL3-H	PP CD3				
89379	6	FL4-H	APC CD19				
81276	1	FSC-H	FSC				
81276	2	SSC-H	SSC				
81276	3	FL1-H	FITC CD4				
81276	4	FL2-H	PE CCR3				
81276	5	FL3-H	PP CD8				
81276	6	FL4-H	APC CCR4				
80162	1	FSC-H	FSC				
80162	2	SSC-H	SSC				
80162	3	FL1-H	FITC CD4				
80162	4	FL2-H	PE CD25				
80162	5	FL3-H	PP CD3				
80162	6	FL4-H	APC CD161				
109892	1	FSC-H	FSC				
109892	2	SSC-H	SSC				
109892	3	FL1-H	FITC CD4				
109892	4	FL2-H	PE CD25				
109892	5	FL3-H	PP CD3				
109892	6	FL4-H	APC CD45RA				
100513	1	FSC-H	FSC				
100513	2	SSC-H	SSC				
100513	3	FL1-H	FITC CD4				
100513	4	FL2-H	PE CD25				
100513	5	FL3-H	PP CD3				
100513	6	FL4-H	APC CD45RO				
121981	1	FSC-H	FSC				
121981	2	SSC-H	SSC				
121981	3	FL1-H	FITC CD4				
121981	4	FL2-H	PE CXCR3				
121981	5	FL3-H	PP CD8				
121981	6	FL4-H	APC CCR5				
136604	1	FSC-H	FSC				
136604	2	SSC-H	SSC				
136604	3	FL1-H	FITC CD56				
136604	4	FL2-H	PE CXCR3				
136604	5	FL3-H	PP CD3				
136604	6	FL4-H	APC CCR5				
83585	1	FSC-H	FSC				
83585	2	SSC-H	SSC				
83585	3	FL1-H	AUTO1				
83585	4	FL2-H	AUTO2				
83585	5	FL3-H	AUTO3				
83585	6	FL4-H	AUTO4				
88284	1	FSC-H	Forward Scatter				
88284	2	SSC-H	Side Scatter				
88284	3	FL1-H	Anti-HLA-DR FITC				
88284	4	FL2-H	PE CD123				
88284	5	FL3-H	PP CD3 14 19 56				
88284	6	FL4-H	APC CD11C				
86387	1	FSC-H	FSC				
86387	2	SSC-H	SSC				
86387	3	FL1-H	FITC CD14				
86387	4	FL2-H	PE CD23				
86387	5	FL3-H	PP CD3				
86387	6	FL4-H	APC CD19				
129931	1	FSC-H	FSC				
129931	2	SSC-H	SSC				
129931	3	FL1-H	FITC CD4				
129931	4	FL2-H	PE CCR3				
129931	5	FL3-H	PP CD8				
129931	6	FL4-H	APC CCR4				
149627	1	FSC-H	FSC				
149627	2	SSC-H	SSC				
149627	3	FL1-H	FITC CD4				
149627	4	FL2-H	PE CD25				
149627	5	FL3-H	PP CD3				
149627	6	FL4-H	APC CD161				
109616	1	FSC-H	FSC				
109616	2	SSC-H	SSC				
109616	3	FL1-H	FITC CD4				
109616	4	FL2-H	PE CD25				
109616	5	FL3-H	PP CD3				
109616	6	FL4-H	APC CD45RA				
88959	1	FSC-H	FSC				
88959	2	SSC-H	SSC				
88959	3	FL1-H	FITC CD4				
88959	4	FL2-H	PE CD25				
88959	5	FL3-H	PP CD3				
88959	6	FL4-H	APC CD45RO				
100365	1	FSC-H	FSC				
100365	2	SSC-H	SSC				
100365	3	FL1-H	FITC CD4				
100365	4	FL2-H	PE CXCR3				
100365	5	FL3-H	PP CD8				
100365	6	FL4-H	APC CCR5				
146048	1	FSC-H	FSC				
146048	2	SSC-H	SSC				
146048	3	FL1-H	FITC CD56				
146048	4	FL2-H	PE CXCR3				
146048	5	FL3-H	PP CD3				
146048	6	FL4-H	APC CCR5				
143111	1	FSC-H	FSC				
143111	2	SSC-H	SSC				
143111	3	FL1-H	AUTO1				
143111	4	FL2-H	AUTO2				
143111	5	FL3-H	AUTO3				
143111	6	FL4-H	AUTO4				
92583	1	FSC-H	Forward Scatter				
92583	2	SSC-H	Side Scatter				
92583	3	FL1-H	Anti-HLA-DR FITC				
92583	4	FL2-H	PE CD123				
92583	5	FL3-H	PP CD3 14 19 56				
92583	6	FL4-H	APC CD11C				
125978	1	FSC-H	FSC				
125978	2	SSC-H	SSC				
125978	3	FL1-H	FITC CD14				
125978	4	FL2-H	PE CD23				
125978	5	FL3-H	PP CD3				
125978	6	FL4-H	APC CD19				
148448	1	FSC-H	FSC				
148448	2	SSC-H	SSC				
148448	3	FL1-H	FITC CD4				
148448	4	FL2-H	PE CCR3				
148448	5	FL3-H	PP CD8				
148448	6	FL4-H	APC CCR4				
145751	1	FSC-H	FSC				
145751	2	SSC-H	SSC				
145751	3	FL1-H	FITC CD4				
145751	4	FL2-H	PE CD25				
145751	5	FL3-H	PP CD3				
145751	6	FL4-H	APC CD161				
112943	1	FSC-H	FSC				
112943	2	SSC-H	SSC				
112943	3	FL1-H	FITC CD4				
112943	4	FL2-H	PE CD25				
112943	5	FL3-H	PP CD3				
112943	6	FL4-H	APC CD45RA				
142651	1	FSC-H	FSC				
142651	2	SSC-H	SSC				
142651	3	FL1-H	FITC CD4				
142651	4	FL2-H	PE CD25				
142651	5	FL3-H	PP CD3				
142651	6	FL4-H	APC CD45RO				
106080	1	FSC-H	FSC				
106080	2	SSC-H	SSC				
106080	3	FL1-H	FITC CD4				
106080	4	FL2-H	PE CXCR3				
106080	5	FL3-H	PP CD8				
106080	6	FL4-H	APC CCR5				
86721	1	FSC-H	FSC				
86721	2	SSC-H	SSC				
86721	3	FL1-H	FITC CD56				
86721	4	FL2-H	PE CXCR3				
86721	5	FL3-H	PP CD3				
86721	6	FL4-H	APC CCR5				
102071	1	FSC-H	FSC				
102071	2	SSC-H	SSC				
102071	3	FL1-H	AUTO1				
102071	4	FL2-H	AUTO2				
102071	5	FL3-H	AUTO3				
102071	6	FL4-H	AUTO4				
83872	1	FSC-H	Forward Scatter				
83872	2	SSC-H	Side Scatter				
83872	3	FL1-H	Anti-HLA-DR FITC				
83872	4	FL2-H	PE CD123				
83872	5	FL3-H	PP CD3 14 19 56				
83872	6	FL4-H	APC CD11C				
109185	1	FSC-H	FSC				
109185	2	SSC-H	SSC				
109185	3	FL1-H	FITC CD14				
109185	4	FL2-H	PE CD23				
109185	5	FL3-H	PP CD3				
109185	6	FL4-H	APC CD19				
124070	1	FSC-H	FSC				
124070	2	SSC-H	SSC				
124070	3	FL1-H	FITC CD4				
124070	4	FL2-H	PE CCR3				
124070	5	FL3-H	PP CD8				
124070	6	FL4-H	APC CCR4				
92184	1	FSC-H	FSC				
92184	2	SSC-H	SSC				
92184	3	FL1-H	FITC CD4				
92184	4	FL2-H	PE CD25				
92184	5	FL3-H	PP CD3				
92184	6	FL4-H	APC CD161				
103504	1	FSC-H	FSC				
103504	2	SSC-H	SSC				
103504	3	FL1-H	FITC CD4				
103504	4	FL2-H	PE CD25				
103504	5	FL3-H	PP CD3				
103504	6	FL4-H	APC CD45RA				
83014	1	FSC-H	FSC				
83014	2	SSC-H	SSC				
83014	3	FL1-H	FITC CD4				
83014	4	FL2-H	PE CD25				
83014	5	FL3-H	PP CD3				
83014	6	FL4-H	APC CD45RO				
87788	1	FSC-H	FSC				
87788	2	SSC-H	SSC				
87788	3	FL1-H	FITC CD4				
87788	4	FL2-H	PE CXCR3				
87788	5	FL3-H	PP CD8				
87788	6	FL4-H	APC CCR5				
85636	1	FSC-H	FSC				
85636	2	SSC-H	SSC				
85636	3	FL1-H	FITC CD56				
85636	4	FL2-H	PE CXCR3				
85636	5	FL3-H	PP CD3				
85636	6	FL4-H	APC CCR5				
123284	1	FSC-H	FSC				
123284	2	SSC-H	SSC				
123284	3	FL1-H	AUTO1				
123284	4	FL2-H	AUTO2				
123284	5	FL3-H	AUTO3				
123284	6	FL4-H	AUTO4				
100401	1	FSC-H	Forward Scatter				
100401	2	SSC-H	Side Scatter				
100401	3	FL1-H	Anti-HLA-DR FITC				
100401	4	FL2-H	PE CD123				
100401	5	FL3-H	PP CD3 14 19 56				
100401	6	FL4-H	APC CD11C				
147182	1	FSC-H	FSC				
147182	2	SSC-H	SSC				
147182	3	FL1-H	FITC CD14				
147182	4	FL2-H	PE CD23				
147182	5	FL3-H	PP CD3				
147182	6	FL4-H	APC CD19				
116813	1	FSC-H	FSC				
116813	2	SSC-H	SSC				
116813	3	FL1-H	FITC CD4				
116813	4	FL2-H	PE CCR3				
116813	5	FL3-H	PP CD8				
116813	6	FL4-H	APC CCR4				
89913	1	FSC-H	FSC				
89913	2	SSC-H	SSC				
89913	3	FL1-H	FITC CD4				
89913	4	FL2-H	PE CD25				
89913	5	FL3-H	PP CD3				
89913	6	FL4-H	APC CD161				
146883	1	FSC-H	FSC				
146883	2	SSC-H	SSC				
146883	3	FL1-H	FITC CD4				
146883	4	FL2-H	PE CD25				
146883	5	FL3-H	PP CD3				
146883	6	FL4-H	APC CD45RA				
112422	1	FSC-H	FSC				
112422	2	SSC-H	SSC				
112422	3	FL1-H	FITC CD4				
112422	4	FL2-H	PE CD25				
112422	5	FL3-H	PP CD3				
112422	6	FL4-H	APC CD45RO				
132080	1	FSC-H	FSC				
132080	2	SSC-H	SSC				
132080	3	FL1-H	FITC CD4				
132080	4	FL2-H	PE CXCR3				
132080	5	FL3-H	PP CD8				
132080	6	FL4-H	APC CCR5				
146162	1	FSC-H	FSC				
146162	2	SSC-H	SSC				
146162	3	FL1-H	FITC CD56				
146162	4	FL2-H	PE CXCR3				
146162	5	FL3-H	PP CD3				
146162	6	FL4-H	APC CCR5				
141265	1	FSC-H	FSC				
141265	2	SSC-H	SSC				
141265	3	FL1-H	AUTO1				
141265	4	FL2-H	AUTO2				
141265	5	FL3-H	AUTO3				
141265	6	FL4-H	AUTO4				
108096	1	FSC-H	Forward Scatter				
108096	2	SSC-H	Side Scatter				
108096	3	FL1-H	Anti-HLA-DR FITC				
108096	4	FL2-H	PE CD123				
108096	5	FL3-H	PP CD3 14 19 56				
108096	6	FL4-H	APC CD11C				
119210	1	FSC-H	FSC				
119210	2	SSC-H	SSC				
119210	3	FL1-H	FITC CD14				
119210	4	FL2-H	PE CD23				
119210	5	FL3-H	PP CD3				
119210	6	FL4-H	APC CD19				
105340	1	FSC-H	FSC				
105340	2	SSC-H	SSC				
105340	3	FL1-H	FITC CD4				
105340	4	FL2-H	PE CCR3				
105340	5	FL3-H	PP CD8				
105340	6	FL4-H	APC CCR4				
116224	1	FSC-H	FSC				
116224	2	SSC-H	SSC				
116224	3	FL1-H	FITC CD4				
116224	4	FL2-H	PE CD25				
116224	5	FL3-H	PP CD3				
116224	6	FL4-H	APC CD161				
131965	1	FSC-H	FSC				
131965	2	SSC-H	SSC				
131965	3	FL1-H	FITC CD4				
131965	4	FL2-H	PE CD25				
131965	5	FL3-H	PP CD3				
131965	6	FL4-H	APC CD45RA				
148907	1	FSC-H	FSC				
148907	2	SSC-H	SSC				
148907	3	FL1-H	FITC CD4				
148907	4	FL2-H	PE CD25				
148907	5	FL3-H	PP CD3				
148907	6	FL4-H	APC CD45RO				
140463	1	FSC-H	FSC				
140463	2	SSC-H	SSC				
140463	3	FL1-H	FITC CD4				
140463	4	FL2-H	PE CXCR3				
140463	5	FL3-H	PP CD8				
140463	6	FL4-H	APC CCR5				
100363	1	FSC-H	FSC				
100363	2	SSC-H	SSC				
100363	3	FL1-H	FITC CD56				
100363	4	FL2-H	PE CXCR3				
100363	5	FL3-H	PP CD3				
100363	6	FL4-H	APC CCR5				
112702	1	FSC-H	FSC				
112702	2	SSC-H	SSC				
112702	3	FL1-H	AUTO1				
112702	4	FL2-H	AUTO2				
112702	5	FL3-H	AUTO3				
112702	6	FL4-H	AUTO4				
104773	1	FSC-H	Forward Scatter				
104773	2	SSC-H	Side Scatter				
104773	3	FL1-H	Anti-HLA-DR FITC				
104773	4	FL2-H	PE CD123				
104773	5	FL3-H	PP CD3 14 19 56				
104773	6	FL4-H	APC CD11C				
77871	1	FSC-H	FSC				
77871	2	SSC-H	SSC				
77871	3	FL1-H	FITC CD14				
77871	4	FL2-H	PE CD23				
77871	5	FL3-H	PP CD3				
77871	6	FL4-H	APC CD19				
121578	1	FSC-H	FSC				
121578	2	SSC-H	SSC				
121578	3	FL1-H	FITC CD4				
121578	4	FL2-H	PE CCR3				
121578	5	FL3-H	PP CD8				
121578	6	FL4-H	APC CCR4				
138308	1	FSC-H	FSC				
138308	2	SSC-H	SSC				
138308	3	FL1-H	FITC CD4				
138308	4	FL2-H	PE CD25				
138308	5	FL3-H	PP CD3				
138308	6	FL4-H	APC CD161				
150330	1	FSC-H	FSC				
150330	2	SSC-H	SSC				
150330	3	FL1-H	FITC CD4				
150330	4	FL2-H	PE CD25				
150330	5	FL3-H	PP CD3				
150330	6	FL4-H	APC CD45RO				
88703	1	FSC-H	FSC				
88703	2	SSC-H	SSC				
88703	3	FL1-H	FITC CD4				
88703	4	FL2-H	PE CXCR3				
88703	5	FL3-H	PP CD8				
88703	6	FL4-H	APC CCR5				
125858	1	FSC-H	FSC				
125858	2	SSC-H	SSC				
125858	3	FL1-H	FITC CD56				
125858	4	FL2-H	PE CXCR3				
125858	5	FL3-H	PP CD3				
125858	6	FL4-H	APC CCR5				
97617	1	FSC-H	FSC				
97617	2	SSC-H	SSC				
97617	3	FL1-H	AUTO1				
97617	4	FL2-H	AUTO2				
97617	5	FL3-H	AUTO3				
97617	6	FL4-H	AUTO4				
98455	1	FSC-H	Forward Scatter				
98455	2	SSC-H	Side Scatter				
98455	3	FL1-H	Anti-HLA-DR FITC				
98455	4	FL2-H	PE CD123				
98455	5	FL3-H	PP CD3 14 19 56				
98455	6	FL4-H	APC CD11C				
112656	1	FSC-H	FSC				
112656	2	SSC-H	SSC				
112656	3	FL1-H	FITC CD14				
112656	4	FL2-H	PE CD23				
112656	5	FL3-H	PP CD3				
112656	6	FL4-H	APC CD19				
76555	1	FSC-H	FSC				
76555	2	SSC-H	SSC				
76555	3	FL1-H	FITC CD4				
76555	4	FL2-H	PE CCR3				
76555	5	FL3-H	PP CD8				
76555	6	FL4-H	APC CCR4				
102751	1	FSC-H	FSC				
102751	2	SSC-H	SSC				
102751	3	FL1-H	FITC CD4				
102751	4	FL2-H	PE CD25				
102751	5	FL3-H	PP CD3				
102751	6	FL4-H	APC CD161				
85984	1	FSC-H	FSC				
85984	2	SSC-H	SSC				
85984	3	FL1-H	FITC CD4				
85984	4	FL2-H	PE CD25				
85984	5	FL3-H	PP CD3				
85984	6	FL4-H	APC CD45RA				
125915	1	FSC-H	FSC				
125915	2	SSC-H	SSC				
125915	3	FL1-H	FITC CD4				
125915	4	FL2-H	PE CD25				
125915	5	FL3-H	PP CD3				
125915	6	FL4-H	APC CD45RO				
89498	1	FSC-H	FSC				
89498	2	SSC-H	SSC				
89498	3	FL1-H	FITC CD4				
89498	4	FL2-H	PE CXCR3				
89498	5	FL3-H	PP CD8				
89498	6	FL4-H	APC CCR5				
98216	1	FSC-H	FSC				
98216	2	SSC-H	SSC				
98216	3	FL1-H	FITC CD56				
98216	4	FL2-H	PE CXCR3				
98216	5	FL3-H	PP CD3				
98216	6	FL4-H	APC CCR5				
150996	1	FSC-H	FSC				
150996	2	SSC-H	SSC				
150996	3	FL1-H	AUTO1				
150996	4	FL2-H	AUTO2				
150996	5	FL3-H	AUTO3				
150996	6	FL4-H	AUTO4				
77160	1	FSC-H	Forward Scatter				
77160	2	SSC-H	Side Scatter				
77160	3	FL1-H	Anti-HLA-DR FITC				
77160	4	FL2-H	PE CD123				
77160	5	FL3-H	PP CD3 14 19 56				
77160	6	FL4-H	APC CD11C				
139516	1	FSC-H	FSC				
139516	2	SSC-H	SSC				
139516	3	FL1-H	FITC CD14				
139516	4	FL2-H	PE CD23				
139516	5	FL3-H	PP CD3				
139516	6	FL4-H	APC CD19				
93228	1	FSC-H	FSC				
93228	2	SSC-H	SSC				
93228	3	FL1-H	FITC CD4				
93228	4	FL2-H	PE CCR3				
93228	5	FL3-H	PP CD8				
93228	6	FL4-H	APC CCR4				
120079	1	FSC-H	FSC				
120079	2	SSC-H	SSC				
120079	3	FL1-H	FITC CD4				
120079	4	FL2-H	PE CD25				
120079	5	FL3-H	PP CD3				
120079	6	FL4-H	APC CD161				
82519	1	FSC-H	FSC				
82519	2	SSC-H	SSC				
82519	3	FL1-H	FITC CD4				
82519	4	FL2-H	PE CD25				
82519	5	FL3-H	PP CD3				
82519	6	FL4-H	APC CD45RA				
82251	1	FSC-H	FSC				
82251	2	SSC-H	SSC				
82251	3	FL1-H	FITC CD4				
82251	4	FL2-H	PE CD25				
82251	5	FL3-H	PP CD3				
82251	6	FL4-H	APC CD45RO				
85939	1	FSC-H	FSC				
85939	2	SSC-H	SSC				
85939	3	FL1-H	FITC CD4				
85939	4	FL2-H	PE CXCR3				
85939	5	FL3-H	PP CD8				
85939	6	FL4-H	APC CCR5				
148023	1	FSC-H	FSC				
148023	2	SSC-H	SSC				
148023	3	FL1-H	FITC CD56				
148023	4	FL2-H	PE CXCR3				
148023	5	FL3-H	PP CD3				
148023	6	FL4-H	APC CCR5				
112784	1	FSC-H	FSC				
112784	2	SSC-H	SSC				
112784	3	FL1-H	AUTO1				
112784	4	FL2-H	AUTO2				
112784	5	FL3-H	AUTO3				
112784	6	FL4-H	AUTO4				
107757	1	FSC-H	Forward Scatter				
107757	2	SSC-H	Side Scatter				
107757	3	FL1-H	Anti-HLA-DR FITC				
107757	4	FL2-H	PE CD123				
107757	5	FL3-H	PP CD3 14 19 56				
107757	6	FL4-H	APC CD11C				
114339	1	FSC-H	FSC				
114339	2	SSC-H	SSC				
114339	3	FL1-H	FITC CD14				
114339	4	FL2-H	PE CD23				
114339	5	FL3-H	PP CD3				
114339	6	FL4-H	APC CD19				
88622	1	FSC-H	FSC				
88622	2	SSC-H	SSC				
88622	3	FL1-H	FITC CD4				
88622	4	FL2-H	PE CCR3				
88622	5	FL3-H	PP CD8				
88622	6	FL4-H	APC CCR4				
128557	1	FSC-H	FSC				
128557	2	SSC-H	SSC				
128557	3	FL1-H	FITC CD4				
128557	4	FL2-H	PE CD25				
128557	5	FL3-H	PP CD3				
128557	6	FL4-H	APC CD161				
111611	1	FSC-H	FSC				
111611	2	SSC-H	SSC				
111611	3	FL1-H	FITC CD4				
111611	4	FL2-H	PE CD25				
111611	5	FL3-H	PP CD3				
111611	6	FL4-H	APC CD45RA				
97346	1	FSC-H	FSC				
97346	2	SSC-H	SSC				
97346	3	FL1-H	FITC CD4				
97346	4	FL2-H	PE CD25				
97346	5	FL3-H	PP CD3				
97346	6	FL4-H	APC CD45RO				
128419	1	FSC-H	FSC				
128419	2	SSC-H	SSC				
128419	3	FL1-H	FITC CD4				
128419	4	FL2-H	PE CXCR3				
128419	5	FL3-H	PP CD8				
128419	6	FL4-H	APC CCR5				
127970	1	FSC-H	FSC				
127970	2	SSC-H	SSC				
127970	3	FL1-H	FITC CD56				
127970	4	FL2-H	PE CXCR3				
127970	5	FL3-H	PP CD3				
127970	6	FL4-H	APC CCR5				
95742	1	FSC-H	FSC				
95742	2	SSC-H	SSC				
95742	3	FL1-H	AUTO1				
95742	4	FL2-H	AUTO2				
95742	5	FL3-H	AUTO3				
95742	6	FL4-H	AUTO4				
132511	1	FSC-H	Forward Scatter				
132511	2	SSC-H	Side Scatter				
132511	3	FL1-H	Anti-HLA-DR FITC				
132511	4	FL2-H	PE CD123				
132511	5	FL3-H	PP CD3 14 19 56				
132511	6	FL4-H	APC CD11C				
83349	1	FSC-H	FSC				
83349	2	SSC-H	SSC				
83349	3	FL1-H	FITC CD14				
83349	4	FL2-H	PE CD23				
83349	5	FL3-H	PP CD3				
83349	6	FL4-H	APC CD19				
128842	1	FSC-H	FSC				
128842	2	SSC-H	SSC				
128842	3	FL1-H	FITC CD4				
128842	4	FL2-H	PE CCR3				
128842	5	FL3-H	PP CD8				
128842	6	FL4-H	APC CCR4				
117893	1	FSC-H	FSC				
117893	2	SSC-H	SSC				
117893	3	FL1-H	FITC CD4				
117893	4	FL2-H	PE CD25				
117893	5	FL3-H	PP CD3				
117893	6	FL4-H	APC CD161				
94045	1	FSC-H	FSC				
94045	2	SSC-H	SSC				
94045	3	FL1-H	FITC CD4				
94045	4	FL2-H	PE CD25				
94045	5	FL3-H	PP CD3				
94045	6	FL4-H	APC CD45RA				
147062	1	FSC-H	FSC				
147062	2	SSC-H	SSC				
147062	3	FL1-H	FITC CD4				
147062	4	FL2-H	PE CD25				
147062	5	FL3-H	PP CD3				
147062	6	FL4-H	APC CD45RO				
139821	1	FSC-H	FSC				
139821	2	SSC-H	SSC				
139821	3	FL1-H	FITC CD4				
139821	4	FL2-H	PE CXCR3				
139821	5	FL3-H	PP CD8				
139821	6	FL4-H	APC CCR5				
88073	1	FSC-H	FSC				
88073	2	SSC-H	SSC				
88073	3	FL1-H	FITC CD56				
88073	4	FL2-H	PE CXCR3				
88073	5	FL3-H	PP CD3				
88073	6	FL4-H	APC CCR5				
138491	1	FSC-H	FSC				
138491	2	SSC-H	SSC				
138491	3	FL1-H	AUTO1				
138491	4	FL2-H	AUTO2				
138491	5	FL3-H	AUTO3				
138491	6	FL4-H	AUTO4				
142194	1	FSC-H	Forward Scatter				
142194	2	SSC-H	Side Scatter				
142194	3	FL1-H	Anti-HLA-DR FITC				
142194	4	FL2-H	PE CD123				
142194	5	FL3-H	PP CD3 14 19 56				
142194	6	FL4-H	APC CD11C				
119658	1	FSC-H	FSC				
119658	2	SSC-H	SSC				
119658	3	FL1-H	FITC CD14				
119658	4	FL2-H	PE CD23				
119658	5	FL3-H	PP CD3				
119658	6	FL4-H	APC CD19				
122070	1	FSC-H	FSC				
122070	2	SSC-H	SSC				
122070	3	FL1-H	FITC CD4				
122070	4	FL2-H	PE CCR3				
122070	5	FL3-H	PP CD8				
122070	6	FL4-H	APC CCR4				
110159	1	FSC-H	FSC				
110159	2	SSC-H	SSC				
110159	3	FL1-H	FITC CD4				
110159	4	FL2-H	PE CD25				
110159	5	FL3-H	PP CD3				
