EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
ES103841	EXP3727	68121	Flow_Cytometry	FCM
ES103842	EXP3727	68127	Flow_Cytometry	FCM
ES103851	EXP3727	67554	Flow_Cytometry	FCM
ES103853	EXP3727	70458	Flow_Cytometry	FCM
ES103860	EXP3727	68002	Flow_Cytometry	FCM
ES103881	EXP3727	67886	Flow_Cytometry	FCM
ES103881	EXP3727	67885	Flow_Cytometry	FCM
ES103883	EXP3727	67898	Flow_Cytometry	FCM
ES103891	EXP3727	68094	Flow_Cytometry	FCM
ES103895	EXP3727	67690	Flow_Cytometry	FCM
ES103896	EXP3727	67696	Flow_Cytometry	FCM
ES103897	EXP3727	67685	Flow_Cytometry	FCM
ES103898	EXP3727	67691	Flow_Cytometry	FCM
ES103901	EXP3727	67699	Flow_Cytometry	FCM
ES103902	EXP3727	68329	Flow_Cytometry	FCM
ES103908	EXP3727	68316	Flow_Cytometry	FCM
ES103911	EXP3727	67936	Flow_Cytometry	FCM
ES103912	EXP3727	67927	Flow_Cytometry	FCM
ES103915	EXP3727	67919	Flow_Cytometry	FCM
ES103920	EXP3727	70062	Flow_Cytometry	FCM
ES103921	EXP3727	70054	Flow_Cytometry	FCM
ES103934	EXP3727	67764	Flow_Cytometry	FCM
ES103937	EXP3727	67772	Flow_Cytometry	FCM
ES103944	EXP3727	67904	Flow_Cytometry	FCM
ES103947	EXP3727	69811	Flow_Cytometry	FCM
ES103950	EXP3727	69804	Flow_Cytometry	FCM
ES103960	EXP3727	70205	Flow_Cytometry	FCM
ES103962	EXP3727	70206	Flow_Cytometry	FCM
ES103972	EXP3727	70184	Flow_Cytometry	FCM
ES103978	EXP3727	68410	Flow_Cytometry	FCM
ES103980	EXP3727	68415	Flow_Cytometry	FCM
ES103981	EXP3727	68418	Flow_Cytometry	FCM
ES103982	EXP3727	70238	Flow_Cytometry	FCM
ES103986	EXP3727	70223	Flow_Cytometry	FCM
ES103989	EXP3727	70235	Flow_Cytometry	FCM
ES103991	EXP3727	67755	Flow_Cytometry	FCM
ES104003	EXP3727	70128	Flow_Cytometry	FCM
ES104009	EXP3727	67881	Flow_Cytometry	FCM
ES104017	EXP3727	67879	Flow_Cytometry	FCM
ES104020	EXP3727	68879	Flow_Cytometry	FCM
ES104031	EXP3727	69452	Flow_Cytometry	FCM
