FCS_HEADER_ID	EXPERIMENT_ACCESSION	EXPSAMPLE_ACCESSION	FILE_INFO_ID	FCS_FILENAME	FCS_VERSION	COMPENSATION_FLAG	PANEL_REPORTED	PANEL_PREFERRED	NUMBER_OF_EVENTS	MINIMUM_INTENSITY	MAXIMUM_INTENSITY	NUMBER_OF_MARKERS	FCS_HEADER_TEXT
118143	EXP3727	ES89092	66492	10203152.001.fcs	1	N	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C		161145	0	1023	6	
107546	EXP3727	ES89093	66484	10203151.005.fcs	1	N	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19		20000	0	1023	6	
84979	EXP3727	ES89094	66480	10203151.003.fcs	1	N	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4		20000	0	1023	6	
131167	EXP3727	ES89095	66486	10203151.006.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161		20000	0	1023	6	
143109	EXP3727	ES89096	66476	10203151.001.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA		20000	0	1023	6	
150889	EXP3727	ES89097	66482	10203151.004.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO		20000	0	1023	6	
104428	EXP3727	ES89098	66478	10203151.002.fcs	1	N	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5		20000	0	1023	6	
141362	EXP3727	ES89099	66488	10203151.007.fcs	1	N	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5		20000	0	1023	6	
102820	EXP3727	ES89100	66490	10203151.008.fcs	1	N	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4		20000	0	1023	6	
96497	EXP3727	ES89101	68718	10273302.001.fcs	1	N	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C		200000	0	1023	6	
123511	EXP3727	ES89102	68710	10273301.005.fcs	1	N	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19		20000	0	1023	6	
139017	EXP3727	ES89103	68706	10273301.003.fcs	1	N	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4		20000	0	1023	6	
87948	EXP3727	ES89104	68712	10273301.006.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161		20000	0	1023	6	
113822	EXP3727	ES89105	68702	10273301.001.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA		20000	0	1023	6	
118705	EXP3727	ES89106	68708	10273301.004.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO		20000	0	1023	6	
128089	EXP3727	ES89107	68704	10273301.002.fcs	1	N	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5		20000	0	1023	6	
112399	EXP3727	ES89108	68714	10273301.007.fcs	1	N	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5		20000	0	1023	6	
103116	EXP3727	ES89109	68716	10273301.008.fcs	1	N	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4		20000	0	1023	6	
134317	EXP3727	ES89113	68682	10273281.006.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161		20000	0	1023	6	
88798	EXP3727	ES89114	68678	10273281.001.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA		20000	0	1023	6	
86867	EXP3727	ES89115	68680	10273281.004.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO		20000	0	1023	6	
139642	EXP3727	ES89119	66606	10233082.001.fcs	1	N	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C		194475	0	1023	6	
130223	EXP3727	ES89120	66598	10233081.005.fcs	1	N	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19		20000	0	1023	6	
111040	EXP3727	ES89121	66594	10233081.003.fcs	1	N	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4		20000	0	1023	6	
141862	EXP3727	ES89122	66600	10233081.006.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161		20000	0	1023	6	
83200	EXP3727	ES89123	66590	10233081.001.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA		20000	0	1023	6	
98283	EXP3727	ES89124	66596	10233081.004.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO		20000	0	1023	6	
150776	EXP3727	ES89125	66592	10233081.002.fcs	1	N	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5		20000	0	1023	6	
118255	EXP3727	ES89126	66602	10233081.007.fcs	1	N	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5		20000	0	1023	6	
103882	EXP3727	ES89127	66604	10233081.008.fcs	1	N	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4		20000	0	1023	6	
99288	EXP3727	ES89128	66510	10203162.001.fcs	1	N	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C		200000	0	1023	6	
95046	EXP3727	ES89129	66502	10203161.005.fcs	1	N	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19		20000	0	1023	6	
92358	EXP3727	ES89130	66498	10203161.003.fcs	1	N	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4		20000	0	1023	6	
94354	EXP3727	ES89131	66504	10203161.006.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161		20000	0	1023	6	
137976	EXP3727	ES89132	66494	10203161.001.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA		20000	0	1023	6	
121171	EXP3727	ES89133	66500	10203161.004.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO		20000	0	1023	6	
146159	EXP3727	ES89134	66496	10203161.002.fcs	1	N	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5		20000	0	1023	6	
100466	EXP3727	ES89135	66506	10203161.007.fcs	1	N	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5		20000	0	1023	6	
82289	EXP3727	ES89136	66508	10203161.008.fcs	1	N	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4		20000	0	1023	6	
130642	EXP3727	ES89137	66588	10233072.001.fcs	1	N	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C		200000	0	1023	6	
77791	EXP3727	ES89138	66580	10233071.005.fcs	1	N	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19		20000	0	1023	6	
88534	EXP3727	ES89139	66576	10233071.003.fcs	1	N	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4		20000	0	1023	6	
119859	EXP3727	ES89140	66582	10233071.006.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161		20000	0	1023	6	
123285	EXP3727	ES89141	66572	10233071.001.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA		20000	0	1023	6	
102971	EXP3727	ES89142	66578	10233071.004.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO		20000	0	1023	6	
103181	EXP3727	ES89143	66574	10233071.002.fcs	1	N	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5		20000	0	1023	6	
127311	EXP3727	ES89144	66584	10233071.007.fcs	1	N	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5		20000	0	1023	6	
134864	EXP3727	ES89145	66586	10233071.008.fcs	1	N	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4		20000	0	1023	6	
89095	EXP3727	ES89146	68658	10273262.001.fcs	1	N	Forward Scatter|Side Scatter|Anti-HLA-DR FITC|PE CD123|PP CD3 14 19 56|APC CD11C		177600	0	1023	6	
124520	EXP3727	ES89147	68650	10273261.005.fcs	1	N	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19		20000	0	1023	6	
125732	EXP3727	ES89148	68646	10273261.003.fcs	1	N	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4		20000	0	1023	6	
77826	EXP3727	ES89149	68652	10273261.006.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161		20000	0	1023	6	
91565	EXP3727	ES89150	68642	10273261.001.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA		20000	0	1023	6	
111924	EXP3727	ES89151	68648	10273261.004.fcs	1	N	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO		20000	0	1023	6	
122188	EXP3727	ES89152	68644	10273261.002.fcs	1	N	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5		20000	0	1023	6	
120794	EXP3727	ES89153	68654	10273261.007.fcs	1	N	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5		20000	0	1023	6	
143650	EXP3727	ES89154	68656	10273261.008.fcs	1	N	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4		20000	0	1023	6	
