BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION
BS119964	ES82283	EXP3727
BS119964	ES82277	EXP3727
BS119964	ES82275	EXP3727
BS119966	ES82298	EXP3727
BS119967	ES82310	EXP3727
BS119968	ES82317	EXP3727
BS119969	ES82325	EXP3727
BS119970	ES82337	EXP3727
BS119970	ES82334	EXP3727
BS119970	ES82331	EXP3727
BS119971	ES82338	EXP3727
BS119972	ES82353	EXP3727
BS119972	ES82352	EXP3727
BS119972	ES82348	EXP3727
BS119973	ES82364	EXP3727
BS119973	ES82363	EXP3727
BS119973	ES82359	EXP3727
BS119973	ES82357	EXP3727
BS119975	ES82381	EXP3727
BS119976	ES82383	EXP3727
BS119978	ES82409	EXP3727
BS119982	ES82439	EXP3727
BS119982	ES82438	EXP3727
BS119985	ES82471	EXP3727
BS119985	ES82470	EXP3727
BS119985	ES82468	EXP3727
BS119985	ES82467	EXP3727
BS119986	ES82479	EXP3727
BS119986	ES82473	EXP3727
BS119987	ES82482	EXP3727
BS119991	ES82518	EXP3727
BS119993	ES82541	EXP3727
BS119994	ES82551	EXP3727
BS119996	ES82563	EXP3727
BS119996	ES82562	EXP3727
BS119997	ES82587	EXP3727
BS119997	ES82583	EXP3727
BS119997	ES82581	EXP3727
BS120000	ES82612	EXP3727
BS120000	ES82610	EXP3727
BS120000	ES82606	EXP3727
BS120001	ES82621	EXP3727
BS120002	ES82629	EXP3727
BS120002	ES82626	EXP3727
BS120003	ES82641	EXP3727
BS120003	ES82634	EXP3727
BS120004	ES82650	EXP3727
BS120005	ES82656	EXP3727
BS120005	ES82654	EXP3727
BS120005	ES82652	EXP3727
BS120008	ES82691	EXP3727
BS120009	ES82699	EXP3727
BS120011	ES82720	EXP3727
BS120011	ES82719	EXP3727
BS120012	ES82730	EXP3727
BS120012	ES82724	EXP3727
BS120013	ES82735	EXP3727
BS120013	ES82733	EXP3727
BS120013	ES82732	EXP3727
BS120015	ES82749	EXP3727
BS120017	ES82767	EXP3727
BS120019	ES82791	EXP3727
BS120019	ES82789	EXP3727
BS120019	ES82787	EXP3727
BS120020	ES82801	EXP3727
BS120020	ES82797	EXP3727
BS120020	ES82795	EXP3727
BS120021	ES82808	EXP3727
BS120021	ES82806	EXP3727
BS120021	ES82803	EXP3727
BS120022	ES82815	EXP3727
BS120023	ES82824	EXP3727
BS120024	ES82830	EXP3727
BS120025	ES82839	EXP3727
BS120025	ES82838	EXP3727
BS120026	ES82849	EXP3727
BS120026	ES82847	EXP3727
BS120026	ES82845	EXP3727
BS120030	ES82885	EXP3727
BS120030	ES82879	EXP3727
BS120032	ES82896	EXP3727
BS120035	ES82929	EXP3727
BS120035	ES82926	EXP3727
BS120035	ES82925	EXP3727
BS120036	ES82940	EXP3727
BS120036	ES82934	EXP3727
BS120039	ES82973	EXP3727
BS120040	ES82982	EXP3727
BS120042	ES83001	EXP3727
BS120043	ES83011	EXP3727
BS120043	ES83005	EXP3727
BS120045	ES83022	EXP3727
BS120047	ES83047	EXP3727
BS120049	ES83065	EXP3727
BS120050	ES83069	EXP3727
BS120050	ES83068	EXP3727
BS120052	ES83090	EXP3727
BS120052	ES83088	EXP3727
BS120053	ES83100	EXP3727
BS120053	ES83099	EXP3727
BS120054	ES83109	EXP3727
BS120055	ES83119	EXP3727
BS120057	ES83141	EXP3727
BS120057	ES83137	EXP3727
BS120057	ES83134	EXP3727
BS120057	ES83132	EXP3727
BS120058	ES83150	EXP3727
BS120059	ES83162	EXP3727
BS120059	ES83158	EXP3727
BS120060	ES83170	EXP3727
BS120063	ES83204	EXP3727
BS120063	ES83200	EXP3727
BS120063	ES83198	EXP3727
BS120064	ES83225	EXP3727
BS120065	ES83228	EXP3727
BS120067	ES83247	EXP3727
BS120069	ES83270	EXP3727
BS120069	ES83269	EXP3727
BS120069	ES83263	EXP3727
BS120070	ES83277	EXP3727
BS120070	ES83276	EXP3727
BS120070	ES83273	EXP3727
BS120072	ES83296	EXP3727
BS120073	ES83300	EXP3727
BS120074	ES83319	EXP3727
BS120074	ES83314	EXP3727
BS120075	ES83331	EXP3727
BS120077	ES83343	EXP3727
BS120079	ES83369	EXP3727
BS120080	ES83375	EXP3727
BS120080	ES83374	EXP3727
BS120080	ES83371	EXP3727
BS120082	ES83389	EXP3727
BS120083	ES83404	EXP3727
BS120083	ES83403	EXP3727
BS120083	ES83398	EXP3727
BS120084	ES83408	EXP3727
BS120085	ES83418	EXP3727
BS120085	ES83417	EXP3727
BS120085	ES83416	EXP3727
BS120085	ES83415	EXP3727
BS120088	ES83445	EXP3727
BS120088	ES83442	EXP3727
BS120093	ES83491	EXP3727
BS120093	ES83490	EXP3727
BS120093	ES83486	EXP3727
BS120094	ES83500	EXP3727
BS120094	ES83494	EXP3727
BS120097	ES83522	EXP3727
BS120097	ES83520	EXP3727
BS120100	ES83554	EXP3727
BS120102	ES83565	EXP3727
BS120102	ES83564	EXP3727
BS120103	ES83579	EXP3727
BS120103	ES83576	EXP3727
BS120105	ES83595	EXP3727
BS120107	ES83611	EXP3727
BS120108	ES83625	EXP3727
BS120108	ES83623	EXP3727
BS120108	ES83621	EXP3727
BS120108	ES83617	EXP3727
BS120111	ES83660	EXP3727
BS120113	ES83679	EXP3727
BS120114	ES83683	EXP3727
BS120115	ES83696	EXP3727
BS120115	ES83695	EXP3727
BS120116	ES83706	EXP3727
BS120116	ES83703	EXP3727
BS120117	ES83715	EXP3727
BS120117	ES83712	EXP3727
BS120117	ES83711	EXP3727
BS120117	ES83710	EXP3727
BS120118	ES83720	EXP3727
BS120119	ES83730	EXP3727
BS120120	ES83744	EXP3727
BS120120	ES83741	EXP3727
BS120122	ES83757	EXP3727
BS120123	ES83764	EXP3727
BS120125	ES83786	EXP3727
BS120125	ES83784	EXP3727
BS120126	ES83795	EXP3727
BS120127	ES83803	EXP3727
BS120127	ES83802	EXP3727
BS120127	ES83800	EXP3727
BS120128	ES83814	EXP3727
BS120128	ES83811	EXP3727
BS120128	ES83807	EXP3727
BS120129	ES83816	EXP3727
BS120130	ES83832	EXP3727
BS120130	ES83827	EXP3727
BS120131	ES83837	EXP3727
BS120131	ES83834	EXP3727
BS120134	ES83863	EXP3727
BS120134	ES83862	EXP3727
BS120136	ES83882	EXP3727
BS120137	ES83893	EXP3727
BS120137	ES83892	EXP3727
BS120138	ES83905	EXP3727
BS120139	ES83909	EXP3727
BS120140	ES83922	EXP3727
BS120140	ES83921	EXP3727
BS120141	ES83931	EXP3727
BS120142	ES83937	EXP3727
BS120142	ES83933	EXP3727
BS120143	ES83947	EXP3727
BS120144	ES83955	EXP3727
BS120146	ES83974	EXP3727
BS120147	ES83985	EXP3727
BS120148	ES83992	EXP3727
BS120148	ES83987	EXP3727
BS120149	ES83998	EXP3727
BS120149	ES83995	EXP3727
BS120150	ES84004	EXP3727
BS120152	ES84026	EXP3727
BS120152	ES84025	EXP3727
BS120154	ES84047	EXP3727
BS120154	ES84046	EXP3727
BS120155	ES84055	EXP3727
BS120156	ES84062	EXP3727
BS120156	ES84061	EXP3727
BS120156	ES84059	EXP3727
BS120158	ES84076	EXP3727
BS120159	ES84086	EXP3727
BS120160	ES84098	EXP3727
BS120161	ES84108	EXP3727
BS120162	ES84115	EXP3727
BS120162	ES84111	EXP3727
BS120162	ES84110	EXP3727
BS120163	ES84125	EXP3727
BS120164	ES84130	EXP3727
BS120165	ES84137	EXP3727
BS120167	ES84163	EXP3727
BS120168	ES84170	EXP3727
BS120169	ES84180	EXP3727
BS120169	ES84173	EXP3727
BS120174	ES84223	EXP3727
BS120175	ES84234	EXP3727
BS120175	ES84233	EXP3727
BS120175	ES84229	EXP3727
BS120177	ES84251	EXP3727
BS120177	ES84249	EXP3727
BS120178	ES84256	EXP3727
BS120178	ES84253	EXP3727
BS120179	ES84270	EXP3727
BS120179	ES84267	EXP3727
BS120179	ES84265	EXP3727
BS120180	ES84277	EXP3727
BS120182	ES84295	EXP3727
BS120182	ES84289	EXP3727
BS120183	ES84304	EXP3727
BS120184	ES84310	EXP3727
BS120185	ES84320	EXP3727
BS120187	ES84342	EXP3727
BS120189	ES84357	EXP3727
BS120190	ES84364	EXP3727
BS120191	ES84374	EXP3727
BS120192	ES84378	EXP3727
BS120194	ES84403	EXP3727
BS120196	ES84420	EXP3727
BS120197	ES84431	EXP3727
BS120197	ES84427	EXP3727
BS120198	ES84440	EXP3727
BS120198	ES84436	EXP3727
BS120198	ES84433	EXP3727
BS120198	ES84432	EXP3727
BS120203	ES84479	EXP3727
BS120204	ES84492	EXP3727
BS120205	ES84500	EXP3727
BS120206	ES84511	EXP3727
BS120206	ES84507	EXP3727
BS120207	ES84518	EXP3727
BS120207	ES84517	EXP3727
BS120208	ES84524	EXP3727
BS120209	ES84538	EXP3727
BS120210	ES84544	EXP3727
BS120210	ES84542	EXP3727
BS120210	ES84541	EXP3727
BS120211	ES84556	EXP3727
BS120212	ES84559	EXP3727
BS120213	ES84570	EXP3727
BS120215	ES84589	EXP3727
BS120215	ES84586	EXP3727
BS120216	ES84601	EXP3727
BS120216	ES84600	EXP3727
BS120219	ES84628	EXP3727
BS120219	ES84625	EXP3727
BS120219	ES84624	EXP3727
BS120219	ES84622	EXP3727
BS120221	ES84645	EXP3727
BS120221	ES84642	EXP3727
BS120222	ES84654	EXP3727
BS120223	ES84662	EXP3727
BS120223	ES84657	EXP3727
BS120224	ES84665	EXP3727
BS120225	ES84674	EXP3727
BS120226	ES84689	EXP3727
BS120226	ES84687	EXP3727
BS120226	ES84683	EXP3727
BS120227	ES84694	EXP3727
BS120229	ES84716	EXP3727
BS120229	ES84710	EXP3727
BS120231	ES84732	EXP3727
BS120231	ES84725	EXP3727
BS120232	ES84739	EXP3727
BS120234	ES84757	EXP3727
BS120235	ES84767	EXP3727
BS120235	ES84762	EXP3727
BS120237	ES84783	EXP3727
BS120237	ES84782	EXP3727
BS120238	ES84789	EXP3727
BS120240	ES84809	EXP3727
BS120240	ES84808	EXP3727
BS120243	ES84837	EXP3727
BS120243	ES84832	EXP3727
BS120244	ES84848	EXP3727
BS120244	ES84847	EXP3727
BS120244	ES84845	EXP3727
BS120245	ES84850	EXP3727
BS120246	ES84858	EXP3727
BS120247	ES84873	EXP3727
BS120247	ES84866	EXP3727
BS120248	ES84881	EXP3727
BS120248	ES84875	EXP3727
BS120249	ES84884	EXP3727
BS120250	ES84896	EXP3727
BS120250	ES84893	EXP3727
BS120253	ES84924	EXP3727
BS120254	ES84930	EXP3727
BS120256	ES84950	EXP3727
BS120257	ES84963	EXP3727
BS120258	ES84966	EXP3727
BS120258	ES84965	EXP3727
BS120259	ES84977	EXP3727
BS120265	ES85035	EXP3727
BS120265	ES85031	EXP3727
BS120265	ES85027	EXP3727
BS120267	ES85046	EXP3727
BS120269	ES85071	EXP3727
BS120270	ES85073	EXP3727
BS120271	ES85084	EXP3727
BS120272	ES85098	EXP3727
BS120273	ES85106	EXP3727
BS120274	ES85116	EXP3727
BS120274	ES85115	EXP3727
BS120274	ES85114	EXP3727
BS120274	ES85109	EXP3727
BS120274	ES85108	EXP3727
BS120275	ES85122	EXP3727
BS120277	ES85140	EXP3727
BS120277	ES85136	EXP3727
BS120278	ES85145	EXP3727
BS120279	ES85157	EXP3727
BS120280	ES85166	EXP3727
BS120280	ES85164	EXP3727
BS120281	ES85173	EXP3727
BS120281	ES85172	EXP3727
BS120284	ES85203	EXP3727
BS120285	ES85213	EXP3727
BS120285	ES85211	EXP3727
BS120285	ES85207	EXP3727
BS120286	ES85216	EXP3727
BS120288	ES85234	EXP3727
BS120291	ES85262	EXP3727
BS120292	ES85269	EXP3727
BS120293	ES85278	EXP3727
BS120294	ES85293	EXP3727
BS120294	ES85288	EXP3727
BS120296	ES85308	EXP3727
BS120297	ES85320	EXP3727
BS120297	ES85315	EXP3727
BS120297	ES85314	EXP3727
BS120298	ES85331	EXP3727
BS120299	ES85340	EXP3727
BS120299	ES85338	EXP3727
BS120299	ES85336	EXP3727
BS120300	ES85345	EXP3727
BS120301	ES85357	EXP3727
BS120301	ES85356	EXP3727
BS120303	ES85375	EXP3727
BS120303	ES85373	EXP3727
BS120303	ES85371	EXP3727
BS120304	ES85381	EXP3727
BS120305	ES85391	EXP3727
BS120308	ES85420	EXP3727
BS120308	ES85419	EXP3727
BS120308	ES85418	EXP3727
BS120308	ES85417	EXP3727
BS120309	ES85427	EXP3727
BS120312	ES85449	EXP3727
BS120314	ES85473	EXP3727
BS120314	ES85471	EXP3727
BS120315	ES85479	EXP3727
BS120316	ES85488	EXP3727
BS120318	ES85507	EXP3727
BS120318	ES85503	EXP3727
BS120319	ES85513	EXP3727
BS120320	ES85523	EXP3727
BS120320	ES85521	EXP3727
BS120321	ES85537	EXP3727
BS120325	ES85572	EXP3727
BS120325	ES85571	EXP3727
BS120325	ES85570	EXP3727
BS120325	ES85569	EXP3727
BS120326	ES85578	EXP3727
BS120328	ES85594	EXP3727
BS120329	ES85605	EXP3727
BS120330	ES85618	EXP3727
BS120332	ES85629	EXP3727
BS120334	ES85653	EXP3727
BS120334	ES85649	EXP3727
BS120336	ES85664	EXP3727
BS120337	ES85675	EXP3727
BS120337	ES85674	EXP3727
BS120338	ES85688	EXP3727
BS120339	ES85696	EXP3727
BS120340	ES85702	EXP3727
BS120341	ES85710	EXP3727
BS120342	ES85718	EXP3727
BS120343	ES85732	EXP3727
BS120344	ES85737	EXP3727
BS120346	ES85758	EXP3727
BS120348	ES85777	EXP3727
BS120348	ES85776	EXP3727
BS120350	ES85791	EXP3727
BS120351	ES85800	EXP3727
BS120352	ES85814	EXP3727
BS120352	ES85807	EXP3727
BS120354	ES85829	EXP3727
BS120357	ES85853	EXP3727
BS120358	ES85869	EXP3727
BS120358	ES85864	EXP3727
BS120359	ES85875	EXP3727
BS120359	ES85872	EXP3727
BS120362	ES85905	EXP3727
BS120362	ES85897	EXP3727
BS120363	ES85907	EXP3727
BS120364	ES85923	EXP3727
BS120365	ES85926	EXP3727
BS120366	ES85940	EXP3727
BS120366	ES85936	EXP3727
BS120366	ES85935	EXP3727
BS120366	ES85933	EXP3727
BS120367	ES85950	EXP3727
BS120367	ES85942	EXP3727
BS120369	ES85962	EXP3727
BS120371	ES85982	EXP3727
BS120372	ES85993	EXP3727
BS120372	ES85989	EXP3727
BS120374	ES86013	EXP3727
BS120375	ES86018	EXP3727
BS120375	ES86016	EXP3727
BS120376	ES86030	EXP3727
BS120376	ES86023	EXP3727
BS120378	ES86044	EXP3727
BS120378	ES86041	EXP3727
BS120379	ES86055	EXP3727
BS120379	ES86050	EXP3727
BS120380	ES86062	EXP3727
BS120382	ES86083	EXP3727
BS120384	ES86094	EXP3727
BS120385	ES86103	EXP3727
BS120386	ES86118	EXP3727
BS120387	ES86128	EXP3727
BS120387	ES86125	EXP3727
BS120387	ES86123	EXP3727
BS120388	ES86137	EXP3727
BS120388	ES86133	EXP3727
BS120389	ES86144	EXP3727
BS120389	ES86141	EXP3727
BS120391	ES86159	EXP3727
BS120391	ES86157	EXP3727
BS120392	ES86167	EXP3727
BS120393	ES86178	EXP3727
BS120394	ES86186	EXP3727
BS120395	ES86200	EXP3727
BS120397	ES86215	EXP3727
BS120397	ES86210	EXP3727
BS120398	ES86223	EXP3727
BS120399	ES86230	EXP3727
BS120399	ES86228	EXP3727
BS120402	ES86259	EXP3727
BS120403	ES86271	EXP3727
BS120403	ES86269	EXP3727
BS120404	ES86278	EXP3727
BS120405	ES86290	EXP3727
BS120407	ES86305	EXP3727
BS120410	ES86334	EXP3727
BS120413	ES86359	EXP3727
BS120413	ES86357	EXP3727
BS120413	ES86355	EXP3727
BS120414	ES86367	EXP3727
BS120414	ES86364	EXP3727
BS120415	ES86379	EXP3727
BS120415	ES86378	EXP3727
BS120415	ES86375	EXP3727
BS120415	ES86373	EXP3727
BS120415	ES86372	EXP3727
BS120416	ES86387	EXP3727
BS120416	ES86385	EXP3727
BS120416	ES86383	EXP3727
BS120417	ES86394	EXP3727
BS120417	ES86391	EXP3727
BS120418	ES86404	EXP3727
BS120419	ES86413	EXP3727
BS120419	ES86411	EXP3727
BS120419	ES86410	EXP3727
BS120420	ES86423	EXP3727
BS120420	ES86421	EXP3727
BS120420	ES86419	EXP3727
BS120422	ES86442	EXP3727
BS120422	ES86436	EXP3727
BS120423	ES86446	EXP3727
BS120424	ES86454	EXP3727
BS120427	ES86481	EXP3727
BS120428	ES86494	EXP3727
BS120428	ES86492	EXP3727
BS120431	ES86522	EXP3727
BS120433	ES86535	EXP3727
BS120434	ES86548	EXP3727
BS120434	ES86544	EXP3727
BS120435	ES86554	EXP3727
BS120436	ES86563	EXP3727
BS120436	ES86562	EXP3727
BS120437	ES86576	EXP3727
BS120437	ES86573	EXP3727
BS120437	ES86570	EXP3727
BS120439	ES86595	EXP3727
BS120439	ES86594	EXP3727
BS120439	ES86593	EXP3727
BS120441	ES86612	EXP3727
BS120441	ES86611	EXP3727
BS120442	ES86617	EXP3727
BS120443	ES86630	EXP3727
BS120445	ES86650	EXP3727
BS120445	ES86649	EXP3727
BS120445	ES86646	EXP3727
BS120446	ES86655	EXP3727
BS120448	ES86674	EXP3727
BS120449	ES86683	EXP3727
BS120449	ES86678	EXP3727
BS120450	ES86695	EXP3727
BS120451	ES86704	EXP3727
BS120452	ES86711	EXP3727
BS120452	ES86706	EXP3727
BS120453	ES86720	EXP3727
BS120455	ES86733	EXP3727
BS120456	ES86749	EXP3727
BS120456	ES86748	EXP3727
BS120457	ES86757	EXP3727
BS120459	ES86776	EXP3727
BS120461	ES86789	EXP3727
BS120462	ES86801	EXP3727
BS120463	ES86810	EXP3727
BS120463	ES86809	EXP3727
BS120464	ES86820	EXP3727
BS120466	ES86836	EXP3727
BS120467	ES86843	EXP3727
BS120468	ES86855	EXP3727
BS120468	ES86849	EXP3727
BS120471	ES86883	EXP3727
BS120472	ES86891	EXP3727
BS120472	ES86889	EXP3727
BS120474	ES86904	EXP3727
BS120475	ES86918	EXP3727
BS120476	ES86928	EXP3727
BS120479	ES86956	EXP3727
BS120479	ES86953	EXP3727
BS120479	ES86949	EXP3727
BS120480	ES86963	EXP3727
BS120480	ES86960	EXP3727
BS120481	ES86973	EXP3727
BS120481	ES86968	EXP3727
BS120482	ES86983	EXP3727
BS120484	ES87001	EXP3727
BS120484	ES86999	EXP3727
BS120484	ES86998	EXP3727
BS120486	ES87017	EXP3727
BS120486	ES87013	EXP3727
BS120488	ES87037	EXP3727
BS120488	ES87034	EXP3727
BS120488	ES87032	EXP3727
BS120489	ES87043	EXP3727
BS120490	ES87053	EXP3727
BS120490	ES87052	EXP3727
BS120491	ES87059	EXP3727
BS120491	ES87058	EXP3727
BS120492	ES87067	EXP3727
BS120493	ES87078	EXP3727
BS120493	ES87074	EXP3727
BS120494	ES87085	EXP3727
BS120496	ES87106	EXP3727
BS120496	ES87102	EXP3727
BS120496	ES87101	EXP3727
BS120497	ES87117	EXP3727
BS120497	ES87116	EXP3727
BS120497	ES87113	EXP3727
BS120499	ES87131	EXP3727
BS120500	ES87141	EXP3727
BS120502	ES87155	EXP3727
BS120503	ES87167	EXP3727
BS120503	ES87165	EXP3727
BS120504	ES87174	EXP3727
BS120507	ES87208	EXP3727
BS120507	ES87201	EXP3727
BS120508	ES87215	EXP3727
BS120508	ES87214	EXP3727
BS120510	ES87229	EXP3727
BS120511	ES87241	EXP3727
BS120511	ES87238	EXP3727
BS120511	ES87236	EXP3727
BS120511	ES87235	EXP3727
BS120512	ES87252	EXP3727
BS120512	ES87244	EXP3727
BS120513	ES87254	EXP3727
BS120514	ES87269	EXP3727
BS120514	ES87262	EXP3727
BS120515	ES87273	EXP3727
BS120517	ES87294	EXP3727
BS120517	ES87292	EXP3727
BS120518	ES87303	EXP3727
BS120518	ES87298	EXP3727
BS120520	ES87321	EXP3727
BS120520	ES87320	EXP3727
BS120521	ES87329	EXP3727
BS120522	ES87335	EXP3727
BS120523	ES87349	EXP3727
BS120524	ES87356	EXP3727
BS120526	ES87374	EXP3727
BS120528	ES87396	EXP3727
BS120528	ES87389	EXP3727
BS120529	ES87405	EXP3727
BS120531	ES87421	EXP3727
BS120532	ES87425	EXP3727
BS120534	ES87447	EXP3727
BS120534	ES87446	EXP3727
BS120534	ES87445	EXP3727
BS120535	ES87454	EXP3727
BS120536	ES87465	EXP3727
BS120537	ES87473	EXP3727
BS120538	ES87485	EXP3727
BS120538	ES87483	EXP3727
BS120538	ES87480	EXP3727
BS120541	ES87511	EXP3727
BS120543	ES87526	EXP3727
BS120544	ES87534	EXP3727
BS120545	ES87545	EXP3727
BS120548	ES87574	EXP3727
BS120548	ES87573	EXP3727
BS120548	ES87571	EXP3727
BS120549	ES87585	EXP3727
BS120549	ES87580	EXP3727
BS120550	ES87590	EXP3727
BS120550	ES87588	EXP3727
BS120550	ES87586	EXP3727
BS120551	ES87597	EXP3727
BS120552	ES87607	EXP3727
BS120553	ES87619	EXP3727
BS120553	ES87613	EXP3727
BS120554	ES87623	EXP3727
BS120556	ES87640	EXP3727
BS120557	ES87657	EXP3727
BS120557	ES87655	EXP3727
BS120557	ES87651	EXP3727
BS120559	ES87675	EXP3727
BS120559	ES87672	EXP3727
BS120559	ES87668	EXP3727
BS120560	ES87683	EXP3727
BS120560	ES87678	EXP3727
BS120560	ES87676	EXP3727
BS120561	ES87687	EXP3727
BS120562	ES87700	EXP3727
BS120563	ES87704	EXP3727
BS120564	ES87720	EXP3727
BS120565	ES87725	EXP3727
BS120565	ES87721	EXP3727
BS120566	ES87737	EXP3727
BS120566	ES87731	EXP3727
BS120567	ES87747	EXP3727
BS120567	ES87743	EXP3727
BS120567	ES87742	EXP3727
BS120567	ES87741	EXP3727
BS120568	ES87753	EXP3727
BS120568	ES87750	EXP3727
BS120569	ES87761	EXP3727
BS120569	ES87757	EXP3727
BS120570	ES87772	EXP3727
BS120570	ES87770	EXP3727
BS120570	ES87769	EXP3727
BS120571	ES87780	EXP3727
BS120573	ES87794	EXP3727
BS120574	ES87808	EXP3727
BS120579	ES87853	EXP3727
BS120581	ES87870	EXP3727
BS120581	ES87867	EXP3727
BS120582	ES87873	EXP3727
BS120584	ES87892	EXP3727
BS120585	ES87907	EXP3727
BS120585	ES87903	EXP3727
BS120585	ES87902	EXP3727
BS120585	ES87900	EXP3727
BS120587	ES87924	EXP3727
BS120587	ES87917	EXP3727
BS120589	ES87936	EXP3727
BS120590	ES87945	EXP3727
BS120594	ES87982	EXP3727
BS120595	ES87997	EXP3727
BS120596	ES88005	EXP3727
BS120598	ES88016	EXP3727
BS120599	ES88031	EXP3727
BS120600	ES88038	EXP3727
BS120604	ES88070	EXP3727
BS120605	ES88083	EXP3727
BS120605	ES88081	EXP3727
BS120605	ES88079	EXP3727
BS120606	ES88090	EXP3727
BS120606	ES88087	EXP3727
BS120608	ES88107	EXP3727
BS120609	ES88122	EXP3727
BS120609	ES88118	EXP3727
BS120611	ES88136	EXP3727
BS120612	ES88143	EXP3727
BS120613	ES88150	EXP3727
BS120616	ES88184	EXP3727
BS120616	ES88179	EXP3727
BS120618	ES88196	EXP3727
BS120619	ES88211	EXP3727
BS120620	ES88216	EXP3727
BS120622	ES88237	EXP3727
BS120623	ES88245	EXP3727
BS120623	ES88240	EXP3727
BS120624	ES88256	EXP3727
BS120626	ES88270	EXP3727
BS120626	ES88267	EXP3727
BS120628	ES88287	EXP3727
BS120629	ES88301	EXP3727
BS120629	ES88294	EXP3727
BS120632	ES88336	EXP3727
BS120632	ES88335	EXP3727
BS120632	ES88325	EXP3727
BS120633	ES88343	EXP3727
BS120633	ES88342	EXP3727
BS120634	ES88354	EXP3727
BS120635	ES88361	EXP3727
BS120635	ES88358	EXP3727
BS120636	ES88367	EXP3727
BS120638	ES88382	EXP3727
BS120639	ES88396	EXP3727
BS120639	ES88391	EXP3727
BS120640	ES88407	EXP3727
BS120640	ES88403	EXP3727
BS120641	ES88415	EXP3727
BS120641	ES88411	EXP3727
BS120643	ES88435	EXP3727
BS120644	ES88438	EXP3727
BS120645	ES88449	EXP3727
BS120646	ES88460	EXP3727
BS120648	ES88479	EXP3727
BS120649	ES88489	EXP3727
BS120651	ES88501	EXP3727
BS120652	ES88510	EXP3727
BS120653	ES88524	EXP3727
BS120653	ES88523	EXP3727
BS120654	ES88529	EXP3727
BS120655	ES88542	EXP3727
BS120655	ES88538	EXP3727
BS120655	ES88535	EXP3727
BS120656	ES88551	EXP3727
BS120657	ES88554	EXP3727
BS120657	ES88553	EXP3727
BS120658	ES88566	EXP3727
BS120659	ES88574	EXP3727
BS120659	ES88572	EXP3727
BS120660	ES88587	EXP3727
BS120660	ES88581	EXP3727
BS120661	ES88596	EXP3727
BS120661	ES88595	EXP3727
BS120661	ES88593	EXP3727
BS120662	ES88604	EXP3727
BS120664	ES88619	EXP3727
BS120664	ES88616	EXP3727
BS120665	ES88627	EXP3727
BS120666	ES88639	EXP3727
BS120667	ES88646	EXP3727
BS120672	ES88694	EXP3727
BS120673	ES88704	EXP3727
BS120673	ES88699	EXP3727
BS120674	ES88712	EXP3727
BS120674	ES88709	EXP3727
BS120676	ES88725	EXP3727
BS120677	ES88741	EXP3727
BS120677	ES88737	EXP3727
BS120678	ES88747	EXP3727
BS120678	ES88743	EXP3727
BS120680	ES88761	EXP3727
BS120681	ES88775	EXP3727
BS120682	ES88782	EXP3727
BS120685	ES88812	EXP3727
BS120686	ES88822	EXP3727
BS120686	ES88818	EXP3727
BS120687	ES88828	EXP3727
BS120688	ES88836	EXP3727
BS120689	ES88849	EXP3727
BS120689	ES88848	EXP3727
BS120689	ES88847	EXP3727
BS120690	ES88855	EXP3727
BS120691	ES88864	EXP3727
BS120691	ES88862	EXP3727
BS120691	ES88860	EXP3727
BS120691	ES88859	EXP3727
BS120692	ES88871	EXP3727
BS120693	ES88884	EXP3727
BS120693	ES88883	EXP3727
BS120694	ES88887	EXP3727
BS120695	ES88897	EXP3727
BS120697	ES88919	EXP3727
BS120697	ES88913	EXP3727
BS120698	ES88927	EXP3727
BS120698	ES88924	EXP3727
BS120698	ES88922	EXP3727
BS120699	ES88938	EXP3727
BS120699	ES88935	EXP3727
BS120700	ES88946	EXP3727
BS120701	ES88954	EXP3727
BS120701	ES88950	EXP3727
BS120701	ES88949	EXP3727
BS120703	ES88975	EXP3727
BS120704	ES88981	EXP3727
BS120704	ES88976	EXP3727
BS120705	ES88993	EXP3727
BS120705	ES88986	EXP3727
BS120706	ES89001	EXP3727
BS120708	ES89016	EXP3727
BS120708	ES89014	EXP3727
BS120709	ES89027	EXP3727
BS120710	ES89032	EXP3727
BS120711	ES89045	EXP3727
BS120712	ES89055	EXP3727
BS120712	ES89049	EXP3727
BS120713	ES89061	EXP3727
BS120715	ES89076	EXP3727
BS120716	ES89084	EXP3727
BS120716	ES89083	EXP3727
BS120717	ES89099	EXP3727
BS120718	ES89102	EXP3727
BS120718	ES89101	EXP3727
BS120720	ES89126	EXP3727
BS120720	ES89123	EXP3727
BS120723	ES89152	EXP3727
BS120724	ES89162	EXP3727
BS120725	ES89172	EXP3727
BS120726	ES89175	EXP3727
BS120727	ES89183	EXP3727
BS120728	ES89199	EXP3727
BS120728	ES89191	EXP3727
BS120729	ES89201	EXP3727
BS120730	ES89210	EXP3727
BS120731	ES89222	EXP3727
BS120732	ES89232	EXP3727
BS120736	ES89267	EXP3727
BS120737	ES89277	EXP3727
BS120738	ES89285	EXP3727
BS120739	ES89298	EXP3727
BS120739	ES89294	EXP3727
BS120739	ES89293	EXP3727
BS120739	ES89291	EXP3727
BS120741	ES89308	EXP3727
BS120742	ES89317	EXP3727
BS120744	ES89340	EXP3727
BS120746	ES89358	EXP3727
BS120746	ES89356	EXP3727
BS120747	ES89367	EXP3727
