FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	PURPOSE	WORKSPACE_ID
64850	Flow cytometry result in fcs format	242048	09153221.002.fcs	Flow cytometry result	990
64851	Flow cytometry result in text format	448840	09153221.002.txt	Flow cytometry result	990
64852	Flow cytometry result in fcs format	242048	09153221.003.fcs	Flow cytometry result	990
64853	Flow cytometry result in text format	445836	09153221.003.txt	Flow cytometry result	990
64854	Flow cytometry result in fcs format	242048	09153221.004.fcs	Flow cytometry result	990
64855	Flow cytometry result in text format	463139	09153221.004.txt	Flow cytometry result	990
64856	Flow cytometry result in fcs format	242048	09153221.005.fcs	Flow cytometry result	990
64857	Flow cytometry result in text format	454754	09153221.005.txt	Flow cytometry result	990
64858	Flow cytometry result in fcs format	242048	09153221.006.fcs	Flow cytometry result	990
64859	Flow cytometry result in text format	463498	09153221.006.txt	Flow cytometry result	990
64860	Flow cytometry result in fcs format	242048	09153221.007.fcs	Flow cytometry result	990
64861	Flow cytometry result in text format	463465	09153221.007.txt	Flow cytometry result	990
64862	Flow cytometry result in fcs format	242048	09153221.008.fcs	Flow cytometry result	990
64863	Flow cytometry result in text format	426677	09153221.008.txt	Flow cytometry result	990
64864	Flow cytometry result in fcs format	2402048	09153222.001.fcs	Flow cytometry result	990
64865	Flow cytometry result in text format	4578581	09153222.001.txt	Flow cytometry result	990
64866	Flow cytometry result in fcs format	242048	09153231.001.fcs	Flow cytometry result	990
64867	Flow cytometry result in text format	475368	09153231.001.txt	Flow cytometry result	990
64868	Flow cytometry result in fcs format	242048	09153231.002.fcs	Flow cytometry result	990
64869	Flow cytometry result in text format	463526	09153231.002.txt	Flow cytometry result	990
64870	Flow cytometry result in fcs format	242048	09153231.003.fcs	Flow cytometry result	990
64871	Flow cytometry result in text format	468869	09153231.003.txt	Flow cytometry result	990
64872	Flow cytometry result in fcs format	242048	09153231.004.fcs	Flow cytometry result	990
64873	Flow cytometry result in text format	473739	09153231.004.txt	Flow cytometry result	990
64874	Flow cytometry result in fcs format	242048	09153231.005.fcs	Flow cytometry result	990
64875	Flow cytometry result in text format	465490	09153231.005.txt	Flow cytometry result	990
64876	Flow cytometry result in fcs format	242048	09153231.006.fcs	Flow cytometry result	990
64877	Flow cytometry result in text format	476220	09153231.006.txt	Flow cytometry result	990
64878	Flow cytometry result in fcs format	242048	09153231.007.fcs	Flow cytometry result	990
64879	Flow cytometry result in text format	474940	09153231.007.txt	Flow cytometry result	990
64880	Flow cytometry result in fcs format	242048	09153231.008.fcs	Flow cytometry result	990
64881	Flow cytometry result in text format	452360	09153231.008.txt	Flow cytometry result	990
64882	Flow cytometry result in fcs format	1392368	09153232.001.fcs	Flow cytometry result	990
64883	Flow cytometry result in text format	2725726	09153232.001.txt	Flow cytometry result	990
64884	Flow cytometry result in fcs format	242048	09153241.001.fcs	Flow cytometry result	990
64885	Flow cytometry result in text format	474163	09153241.001.txt	Flow cytometry result	990
64886	Flow cytometry result in fcs format	242048	09153241.002.fcs	Flow cytometry result	990
64887	Flow cytometry result in text format	465776	09153241.002.txt	Flow cytometry result	990
64888	Flow cytometry result in fcs format	242048	09153241.003.fcs	Flow cytometry result	990
64889	Flow cytometry result in text format	461459	09153241.003.txt	Flow cytometry result	990
64890	Flow cytometry result in fcs format	242048	09153241.004.fcs	Flow cytometry result	990
64891	Flow cytometry result in text format	471750	09153241.004.txt	Flow cytometry result	990
64892	Flow cytometry result in fcs format	242048	09153241.005.fcs	Flow cytometry result	990
64893	Flow cytometry result in text format	466424	09153241.005.txt	Flow cytometry result	990
64894	Flow cytometry result in fcs format	242048	09153241.006.fcs	Flow cytometry result	990
64895	Flow cytometry result in text format	468987	09153241.006.txt	Flow cytometry result	990
64896	Flow cytometry result in fcs format	242048	09153241.007.fcs	Flow cytometry result	990
64897	Flow cytometry result in text format	469417	09153241.007.txt	Flow cytometry result	990
64898	Flow cytometry result in fcs format	242048	09153241.008.fcs	Flow cytometry result	990
64899	Flow cytometry result in text format	440223	09153241.008.txt	Flow cytometry result	990
